[4/15/23 04:08PM] Received item from Coke. Name: Tormented Legs. Id: 21038, amount: 1	
[4/15/23 05:07PM] Received item from Like My Peep. Name: Collector necklace. Id: 19886, amount: 1	
[4/17/23 07:27AM] Gave item to Ctg804. Name: Vote scroll. Id: 23020, amount: 3	
[4/17/23 07:27AM] Received item from Ctg804. Name: Tarn token. Id: 10835, amount: 60627	
[4/17/23 11:12AM] Received item from Fpk Merk. Name: Progressive Box [T2]. Id: 10029, amount: 2	
[4/17/23 11:14AM] Received item from Iampk3r. Name: Progressive Box [T2]. Id: 10029, amount: 2	
[4/17/23 07:04PM] Received item from Suh. Name: Infinite overload potion (T3). Id: 23126, amount: 1	
[4/17/23 07:05PM] Gave item to Razvy. Name: Infinite overload potion (T3). Id: 23126, amount: 1	
[4/19/23 10:42AM] Gave item to Itachi. Name: speed pickaxe. Id: 19812, amount: 1	
[4/19/23 12:09PM] Received item from Nobledefeat. Name: Collector necklace. Id: 19886, amount: 1	
[4/19/23 02:05PM] Received item from Itachi. Name: AFK ticket. Id: 5020, amount: 85920	
[4/19/23 05:08PM] Gave item to Swigglecake. Name: Collector necklace. Id: 19886, amount: 1	
[4/19/23 05:08PM] Received item from Swigglecake. Name: Tarn token. Id: 10835, amount: 66560	
[4/19/23 06:50PM] Received item from Resi. Name: Solar Robe Top. Id: 15646, amount: 1	
[4/19/23 06:50PM] Received item from Resi. Name: Solar Robe Bottom. Id: 15647, amount: 1	
[4/19/23 06:50PM] Received item from Resi. Name: Emerald Coif. Id: 11001, amount: 1	
[4/19/23 06:50PM] Received item from Resi. Name: Solar Staff. Id: 22135, amount: 1	
[4/20/23 07:27AM] Gave item to Onlyfans. Name: $1 Scroll. Id: 10946, amount: 11	
[4/20/23 07:27AM] Received item from Onlyfans. Name: Tarn token. Id: 10835, amount: 600000	
[4/20/23 07:27AM] Received item from Onlyfans. Name: Coin. Id: 995, amount: 35674449	
[4/20/23 07:38AM] Gave item to Forest. Name: Collector necklace. Id: 19886, amount: 1	
[4/20/23 07:38AM] Received item from Forest. Name: Tarn token. Id: 10835, amount: 100000	
[4/20/23 07:39AM] Gave item to Itachi. Name: AFK ticket. Id: 5020, amount: 209530	
[4/20/23 09:33AM] Gave item to Onlyfans. Name: $1 Scroll. Id: 10946, amount: 14	
[4/20/23 09:33AM] Received item from Onlyfans. Name: Executive Legs. Id: 4686, amount: 1	
[4/20/23 09:33AM] Received item from Onlyfans. Name: Solar Staff. Id: 22135, amount: 1	
[4/20/23 09:33AM] Received item from Onlyfans. Name: Solar Robe Top. Id: 15646, amount: 1	
[4/20/23 09:34AM] Received item from Onlyfans. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/20/23 09:52AM] Gave item to Nobledefeat. Name: Tarn token. Id: 10835, amount: 567000	
[4/20/23 09:52AM] Received item from Nobledefeat. Name: Miner chestplate (iron). Id: 20582, amount: 1	
[4/20/23 10:53AM] Gave item to Moist. Name: $1 Scroll. Id: 10946, amount: 14	
[4/20/23 10:53AM] Received item from Moist. Name: Tarn token. Id: 10835, amount: 700000	
[4/20/23 10:53AM] Received item from Moist. Name: Solar Staff. Id: 22135, amount: 1	
[4/20/23 10:57AM] Gave item to Moist. Name: $1 Scroll. Id: 10946, amount: 6	
[4/20/23 10:57AM] Received item from Moist. Name: Tarn token. Id: 10835, amount: 300000	
[4/20/23 02:26PM] Gave item to Razvy. Name: Tarn token. Id: 10835, amount: 80000	
[4/20/23 02:26PM] Received item from Razvy. Name: Obsidian Aura. Id: 12612, amount: 1	
[4/20/23 02:35PM] Received item from Zshana. Name: Solar Robe Bottom. Id: 15647, amount: 1	
[4/20/23 02:57PM] Gave item to Ruthie. Name: Tarn token. Id: 10835, amount: 300000	
[4/20/23 02:57PM] Received item from Ruthie. Name: Varth Teddy. Id: 22151, amount: 1	
[4/20/23 06:17PM] Gave item to A Fatality. Name: Tarn token. Id: 10835, amount: 100000	
[4/20/23 06:17PM] Received item from A Fatality. Name: Obsidian Wings. Id: 23068, amount: 1	
[4/20/23 06:51PM] Gave item to Resi. Name: Tarn token. Id: 10835, amount: 600000	
[4/20/23 06:51PM] Received item from Resi. Name: Agumon Gloves. Id: 22159, amount: 1	
[4/20/23 07:02PM] Gave item to Daryl Dixon. Name: Doom Body. Id: 16021, amount: 1	
[4/20/23 07:02PM] Gave item to Daryl Dixon. Name: Rogue Gloves. Id: 22123, amount: 1	
[4/20/23 07:02PM] Gave item to Daryl Dixon. Name: Inferno Helm. Id: 13300, amount: 1	
[4/20/23 07:02PM] Gave item to Daryl Dixon. Name: Gold Enhancement. Id: 17391, amount: 1	
[4/20/23 07:18PM] Received item from Arab. Name: Scylla Body. Id: 14373, amount: 1	
[4/20/23 07:18PM] Received item from Arab. Name: Virtuos Wand. Id: 14305, amount: 1	
[4/20/23 07:18PM] Received item from Arab. Name: Varth Helm. Id: 22145, amount: 1	
[4/20/23 07:18PM] Received item from Arab. Name: Varth Boots. Id: 22149, amount: 1	
[4/21/23 05:16PM] Gave item to Bulba. Name: Tarn token. Id: 10835, amount: 1100000	
[4/21/23 05:16PM] Received item from Bulba. Name: Aura (T6). Id: 23049, amount: 1	
[4/21/23 05:18PM] Gave item to Onlyfans. Name: Tarn token. Id: 10835, amount: 300000	
[4/21/23 05:18PM] Received item from Onlyfans. Name: Soldier Helm. Id: 23075, amount: 1	
