[4/21/23 01:19AM] Gave item to 420 Vet. Name: Revenant whip. Id: 18011, amount: 1	
[4/21/23 01:19AM] Gave item to 420 Vet. Name: Imperial gloves. Id: 20091, amount: 1	
[4/21/23 01:19AM] Gave item to 420 Vet. Name: Lava bones. Id: 2023, amount: 190	
[4/22/23 01:49AM] Gave item to 420 Vet. Name: $1 Scroll. Id: 10946, amount: 17	
[4/22/23 01:45PM] Received item from 420 Vet. Name: Lust Staff. Id: 8809, amount: 1	
[4/22/23 03:11PM] Received item from 420 Vet. Name: Executive Bow. Id: 5012, amount: 1	
[4/22/23 03:11PM] Received item from 420 Vet. Name: Infinite overload potion (T1). Id: 23124, amount: 1	
[4/22/23 04:39PM] Gave item to 420 Vet. Name: $1 Scroll. Id: 10946, amount: 15	
[4/22/23 04:39PM] Gave item to 420 Vet. Name: Vote scroll. Id: 23020, amount: 21	
[4/22/23 05:37PM] Gave item to 420 Vet. Name: $1 Scroll. Id: 10946, amount: 2	
[4/22/23 05:59PM] Gave item to 420 Vet. Name: Tarn token. Id: 10835, amount: 62376	
[4/22/23 07:35PM] Received item from 420 Vet. Name: Collector necklace II. Id: 19888, amount: 1	
[4/23/23 11:44AM] Gave item to 420 Vet. Name: Executive Bow. Id: 5012, amount: 1	
[4/23/23 11:44AM] Gave item to 420 Vet. Name: Mystic book. Id: 23027, amount: 1	
[4/26/23 12:12PM] Received item from Princespeach. Name: Cursed Box. Id: 15003, amount: 2	
[4/26/23 12:29PM] Gave item to 420 Vet. Name: Shinigami Sword. Id: 13333, amount: 1	
[4/26/23 07:52PM] Gave item to 420 Vet. Name: Vote scroll. Id: 23020, amount: 9	
[4/26/23 07:52PM] Gave item to 420 Vet. Name: $1 Scroll. Id: 10946, amount: 12	
[4/26/23 10:50PM] Received item from 420 Vet. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/26/23 11:00PM] Received item from 420 Vet. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/26/23 11:00PM] Received item from 420 Vet. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/26/23 11:00PM] Received item from 420 Vet. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/26/23 11:00PM] Received item from 420 Vet. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/26/23 11:00PM] Received item from 420 Vet. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/26/23 11:00PM] Received item from 420 Vet. Name: Gladiator Legs. Id: 15007, amount: 1	
[4/27/23 11:10AM] Gave item to 420 Vet. Name: Tarn token. Id: 10835, amount: 2628125	
