[4/18/23 04:44PM] Gave item to Dwerd. Name: Aberrant Legs. Id: 20594, amount: 1	
[4/18/23 04:44PM] Gave item to Dwerd. Name: Aberrant Body. Id: 20593, amount: 1	
[4/18/23 04:44PM] Gave item to Dwerd. Name: Imperial Minigun. Id: 18636, amount: 1	
[4/18/23 04:44PM] Gave item to Dwerd. Name: Forsaken Gloves. Id: 14913, amount: 1	
[4/18/23 04:44PM] Gave item to Dwerd. Name: Imperial Staff. Id: 18629, amount: 1	
[4/18/23 04:44PM] Gave item to Dwerd. Name: Sacred Boots. Id: 23138, amount: 1	
[4/18/23 04:44PM] Gave item to Dwerd. Name: Inferno tokhaar-kal. Id: 18683, amount: 1	
[4/18/23 04:47PM] Gave item to Dwerd. Name: Lava bones. Id: 2023, amount: 3342	
[4/19/23 04:11PM] Gave item to Dwerd. Name: Antique Staff. Id: 23145, amount: 1	
[4/19/23 04:50PM] Received item from Dwerd. Name: $1 Scroll. Id: 10946, amount: 10	
[4/19/23 05:03PM] Gave item to Dwerd. Name: Godly Bow. Id: 21018, amount: 1	
[4/19/23 05:18PM] Gave item to Dwerd. Name: Maze Cape. Id: 17684, amount: 1	
[4/19/23 05:18PM] Received item from Dwerd. Name: Tarn token. Id: 10835, amount: 10000	
[4/22/23 05:53PM] Gave item to Dwerd. Name: Solar Staff. Id: 22135, amount: 1	
