[4/17/23 02:48PM] Received item from Chibi. Name: Coin. Id: 995, amount: 35216704	
[4/17/23 02:48PM] Received item from Chibi. Name: Super restore (4). Id: 3025, amount: 91	
[4/17/23 02:48PM] Received item from Chibi. Name: Emerald Coif. Id: 11001, amount: 1	
[4/17/23 02:48PM] Received item from Chibi. Name: Fury shark. Id: 17818, amount: 52	
[4/17/23 02:48PM] Received item from Chibi. Name: Zinq shield. Id: 23056, amount: 1	
[4/17/23 02:48PM] Received item from Chibi. Name: Lava bones. Id: 2023, amount: 6810	
[4/17/23 02:48PM] Received item from Chibi. Name: Antique Bow. Id: 23144, amount: 1	
[4/17/23 02:48PM] Received item from Chibi. Name: Imperial amulet. Id: 20092, amount: 1	
[4/17/23 02:48PM] Received item from Chibi. Name: Doom Helm. Id: 15922, amount: 1	
[4/17/23 02:48PM] Received item from Chibi. Name: Tormented Cape. Id: 21039, amount: 1	
[4/17/23 02:48PM] Received item from Chibi. Name: Maze Legs. Id: 5428, amount: 1	
[4/17/23 02:48PM] Received item from Chibi. Name: Unknown Body. Id: 21043, amount: 1	
[4/17/23 02:48PM] Received item from Chibi. Name: Maze Maul. Id: 17710, amount: 1	
[4/17/23 02:48PM] Received item from Chibi. Name: Imperial ring. Id: 20093, amount: 1	
[4/17/23 02:48PM] Received item from Chibi. Name: Antique Boots. Id: 8820, amount: 1	
[4/17/23 02:48PM] Received item from Chibi. Name: Antique Gloves. Id: 8819, amount: 1	
[4/17/23 02:48PM] Received item from Chibi. Name: Tarn token. Id: 10835, amount: 22546	
[4/17/23 02:48PM] Received item from Chibi. Name: Doom Body. Id: 16021, amount: 1	
[4/17/23 02:48PM] Received item from Chibi. Name: Super restore (4). Id: 3024, amount: 1	
[4/17/23 02:55PM] Received item from Rokas. Name: Emerald Crossbow. Id: 8088, amount: 1	
[4/17/23 02:55PM] Received item from Rokas. Name: Unknown Cape. Id: 21045, amount: 1	
[4/17/23 02:55PM] Received item from Rokas. Name: Titan Body. Id: 8804, amount: 1	
[4/17/23 02:55PM] Received item from Rokas. Name: Lust Visor. Id: 8806, amount: 1	
[4/18/23 12:49PM] Gave item to Rokas. Name: Vote scroll. Id: 23020, amount: 3	
[4/18/23 12:49PM] Gave item to Rokas. Name: Tarn token. Id: 10835, amount: 74318	
[4/18/23 12:49PM] Received item from Rokas. Name: Solar Hood. Id: 15645, amount: 1	
[4/18/23 03:17PM] Gave item to Moralizer. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/18/23 03:17PM] Gave item to Moralizer. Name: Infinite overload potion (T1). Id: 23124, amount: 1	
[4/18/23 03:17PM] Gave item to Moralizer. Name: DMG Potion (Mortal). Id: 3090, amount: 1	
[4/18/23 03:17PM] Gave item to Moralizer. Name: EXP Potion (Divine). Id: 1033, amount: 1	
[4/18/23 03:17PM] Gave item to Moralizer. Name: Vote scroll. Id: 23020, amount: 5	
[4/18/23 03:17PM] Gave item to Moralizer. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/18/23 03:17PM] Gave item to Moralizer. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/18/23 03:17PM] Gave item to Moralizer. Name: Solar Hood. Id: 15645, amount: 1	
