[4/23/23 09:01AM] Received item from Jroc. Name: Evil Legs. Id: 14331, amount: 1	
[4/23/23 09:01AM] Received item from Jroc. Name: Nite Helm. Id: 17614, amount: 1	
[4/23/23 09:01AM] Received item from Jroc. Name: Emerald Body. Id: 11002, amount: 1	
[4/23/23 09:01AM] Received item from Jroc. Name: White Beard Pet. Id: 20582, amount: 1	
[4/23/23 09:01AM] Received item from Jroc. Name: Lava bones. Id: 2023, amount: 9012	
[4/23/23 09:01AM] Received item from Jroc. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/23/23 09:04AM] Received item from Jroc. Name: Aura (T6). Id: 23049, amount: 1	
[4/23/23 09:04AM] Received item from Jroc. Name: Emerald Crossbow. Id: 8088, amount: 1	
[4/23/23 09:04AM] Received item from Jroc. Name: Infinite healing potion (T3). Id: 23120, amount: 1	
[4/23/23 07:47PM] Received item from Jroc. Name: Solar Hood. Id: 15645, amount: 1	
[4/23/23 07:47PM] Received item from Jroc. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/24/23 03:36PM] Received item from Jroc. Name: Gladiator Helm. Id: 15005, amount: 1	
[4/24/23 03:48PM] Received item from Jroc. Name: Gold Enhancement. Id: 17391, amount: 1	
