[4/20/23 05:59PM] Received item from Nadez. Name: Solar Staff. Id: 22135, amount: 1	
[4/20/23 06:04PM] Received item from Nadez. Name: Fazula Staff. Id: 4071, amount: 1	
[4/20/23 06:05PM] Gave item to Nadez. Name: Fazula Staff. Id: 4071, amount: 1	
[4/20/23 06:05PM] Received item from Nadez. Name: Yasuda Scythe. Id: 3472, amount: 1	
[4/20/23 06:26PM] Received item from Nadez. Name: Coin. Id: 995, amount: 106290206	
[4/20/23 06:35PM] Received item from Nadez. Name: Coin. Id: 995, amount: 125903520	
[4/20/23 06:42PM] Gave item to Nadez. Name: $1 Scroll. Id: 10946, amount: 5	
[4/20/23 06:42PM] Gave item to Nadez. Name: Vote scroll. Id: 23020, amount: 3	
[4/20/23 06:43PM] Gave item to Nadez. Name: Nightmare helm. Id: 23028, amount: 1	
[4/20/23 06:43PM] Gave item to Nadez. Name: Mystic legs. Id: 23023, amount: 1	
[4/20/23 06:48PM] Gave item to Nadez. Name: Solar Staff. Id: 22135, amount: 1	
[4/20/23 06:48PM] Gave item to Nadez. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/20/23 06:48PM] Gave item to Nadez. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/20/23 06:48PM] Gave item to Nadez. Name: Tarn token. Id: 10835, amount: 47910	
[4/20/23 06:48PM] Gave item to Nadez. Name: Coin. Id: 995, amount: 80	
[4/20/23 06:48PM] Gave item to Nadez. Name: Yasuda Scythe. Id: 3472, amount: 1	
