[4/22/23 03:05PM] Gave item to Bigsmasher. Name: Lava bones. Id: 2023, amount: 1534	
[4/26/23 06:07PM] Gave item to Bigsmasher. Name: EXP Potion (Divine). Id: 1033, amount: 1	
[4/26/23 06:07PM] Gave item to Bigsmasher. Name: EXP Potion (Divine). Id: 1033, amount: 1	
[4/26/23 06:07PM] Gave item to Bigsmasher. Name: DMG Potion (Mortal). Id: 3090, amount: 1	
[4/26/23 06:07PM] Gave item to Bigsmasher. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/26/23 06:07PM] Gave item to Bigsmasher. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/26/23 06:07PM] Gave item to Bigsmasher. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/26/23 06:07PM] Gave item to Bigsmasher. Name: Green stone. Id: 15251, amount: 1	
[4/26/23 06:07PM] Gave item to Bigsmasher. Name: Blood Helm. Id: 8813, amount: 1	
[4/26/23 06:07PM] Gave item to Bigsmasher. Name: Aberrant Cape. Id: 4367, amount: 1	
[4/26/23 06:07PM] Gave item to Bigsmasher. Name: Collector necklace. Id: 19886, amount: 1	
[4/26/23 06:07PM] Gave item to Bigsmasher. Name: Vote scroll. Id: 23020, amount: 2	
[4/26/23 06:07PM] Gave item to Bigsmasher. Name: Slayer ticket. Id: 5023, amount: 407	
[4/26/23 06:07PM] Gave item to Bigsmasher. Name: Zinq shield. Id: 23056, amount: 1	
[4/26/23 06:07PM] Gave item to Bigsmasher. Name: Rogue Boots. Id: 22122, amount: 1	
[4/26/23 06:07PM] Gave item to Bigsmasher. Name: Aberrant Ring. Id: 8335, amount: 1	
[4/26/23 06:07PM] Gave item to Bigsmasher. Name: Doom Aura. Id: 12614, amount: 1	
[4/26/23 06:07PM] Gave item to Bigsmasher. Name: Blood Body. Id: 8814, amount: 1	
[4/26/23 06:07PM] Gave item to Bigsmasher. Name: Rogue Gloves. Id: 22123, amount: 1	
[4/26/23 06:07PM] Gave item to Bigsmasher. Name: Blood Legs. Id: 8815, amount: 1	
[4/26/23 06:07PM] Gave item to Bigsmasher. Name: Zinq sword. Id: 23055, amount: 1	
[4/26/23 06:07PM] Gave item to Bigsmasher. Name: Solar Staff. Id: 22135, amount: 1	
[4/26/23 06:07PM] Gave item to Bigsmasher. Name: PvM Casket. Id: 2736, amount: 5	
[4/26/23 06:07PM] Gave item to Bigsmasher. Name: Tarn token. Id: 10835, amount: 58601	
[4/26/23 06:07PM] Gave item to Bigsmasher. Name: Coin. Id: 995, amount: 1000555	
[4/26/23 06:07PM] Gave item to Bigsmasher. Name: Lava bones. Id: 2023, amount: 2853	
