[4/16/23 01:59PM] Received item from Lilmane. Name: Revenant Body. Id: 18001, amount: 1	
[4/16/23 01:59PM] Received item from Lilmane. Name: Blurite Legs. Id: 19986, amount: 1	
[4/16/23 01:59PM] Received item from Lilmane. Name: Imperial helm. Id: 20086, amount: 1	
[4/16/23 01:59PM] Received item from Lilmane. Name: Imperial gloves. Id: 20091, amount: 1	
[4/16/23 01:59PM] Received item from Lilmane. Name: Revenant Helm. Id: 17999, amount: 1	
[4/16/23 01:59PM] Received item from Lilmane. Name: Blurite Boots. Id: 19989, amount: 1	
[4/16/23 02:12PM] Received item from Lilmane. Name: Zinq sword. Id: 23055, amount: 1	
[4/16/23 02:12PM] Received item from Lilmane. Name: Zinq helm. Id: 23050, amount: 1	
[4/16/23 03:16PM] Received item from Lilmane. Name: Zinq legs. Id: 23052, amount: 1	
[4/16/23 03:16PM] Received item from Lilmane. Name: Nagi Gloves. Id: 21066, amount: 1	
[4/16/23 03:22PM] Received item from Lilmane. Name: Zinq boots. Id: 23054, amount: 1	
