[4/15/23 05:42PM] Gave item to A Fatality. Name: Collector necklace. Id: 19886, amount: 1	
[4/15/23 05:42PM] Received item from A Fatality. Name: Tarn token. Id: 10835, amount: 24052	
[4/15/23 08:35PM] Gave item to Beef Supreme. Name: Slayer ticket. Id: 5023, amount: 392	
[4/15/23 08:35PM] Gave item to Beef Supreme. Name: Coin. Id: 995, amount: 5426569	
[4/15/23 08:35PM] Gave item to Beef Supreme. Name: Tarn token. Id: 10835, amount: 65590	
[4/15/23 08:35PM] Gave item to Beef Supreme. Name: Infinite overload potion (T1). Id: 23124, amount: 1	
[4/15/23 08:35PM] Gave item to Beef Supreme. Name: Mystic staff. Id: 23026, amount: 1	
[4/15/23 08:35PM] Gave item to Beef Supreme. Name: Antique Gloves. Id: 8819, amount: 1	
[4/15/23 08:35PM] Gave item to Beef Supreme. Name: Antique Body. Id: 8817, amount: 1	
[4/15/23 08:35PM] Gave item to Beef Supreme. Name: Zinq legs. Id: 23052, amount: 1	
[4/15/23 08:35PM] Gave item to Beef Supreme. Name: Collector necklace. Id: 19886, amount: 1	
[4/15/23 08:35PM] Gave item to Beef Supreme. Name: Nagi Helm. Id: 21062, amount: 1	
[4/15/23 08:35PM] Gave item to Beef Supreme. Name: Unknown Boots. Id: 21047, amount: 1	
[4/15/23 08:35PM] Gave item to Beef Supreme. Name: Nagi Ring. Id: 21069, amount: 1	
[4/15/23 08:35PM] Gave item to Beef Supreme. Name: Mystic book. Id: 23027, amount: 1	
[4/15/23 08:35PM] Gave item to Beef Supreme. Name: Revenant Wings. Id: 18005, amount: 1	
[4/15/23 08:35PM] Received item from Beef Supreme. Name: Fury shark. Id: 17817, amount: 1	
[4/15/23 08:35PM] Received item from Beef Supreme. Name: Fury shark. Id: 17817, amount: 1	
[4/15/23 08:35PM] Received item from Beef Supreme. Name: Fury shark. Id: 17817, amount: 1	
[4/15/23 08:35PM] Received item from Beef Supreme. Name: Fury shark. Id: 17817, amount: 1	
[4/15/23 08:35PM] Received item from Beef Supreme. Name: Fury shark. Id: 17817, amount: 1	
[4/15/23 08:35PM] Received item from Beef Supreme. Name: Fury shark. Id: 17817, amount: 1	
[4/15/23 08:35PM] Received item from Beef Supreme. Name: Fury shark. Id: 17817, amount: 1	
[4/15/23 08:35PM] Received item from Beef Supreme. Name: Fury shark. Id: 17817, amount: 1	
[4/15/23 08:35PM] Received item from Beef Supreme. Name: Fury shark. Id: 17817, amount: 1	
[4/15/23 08:36PM] Gave item to Beef Supreme. Name: Grapevine. Id: 945, amount: 1	
[4/15/23 08:36PM] Gave item to Beef Supreme. Name: Yellow stone. Id: 15250, amount: 1	
[4/15/23 08:36PM] Gave item to Beef Supreme. Name: Hemp Tar. Id: 1025, amount: 1	
[4/15/23 08:36PM] Gave item to Beef Supreme. Name: Lava bones. Id: 2023, amount: 3416	
[4/15/23 08:36PM] Gave item to Beef Supreme. Name: Upgrade Token. Id: 20503, amount: 1	
[4/15/23 08:36PM] Gave item to Beef Supreme. Name: Holy water. Id: 732, amount: 1	
[4/15/23 08:36PM] Gave item to Beef Supreme. Name: Super restore (4). Id: 3025, amount: 76	
