[4/16/23 01:57AM] Received item from Rks. Name: Sinful Bottom. Id: 14734, amount: 1	
[4/16/23 01:57AM] Received item from Rks. Name: Sinful Top. Id: 14732, amount: 1	
[4/16/23 01:57AM] Received item from Rks. Name: Sinful Gloves. Id: 12864, amount: 1	
[4/16/23 01:57AM] Received item from Rks. Name: Sinful Boots. Id: 10865, amount: 1	
[4/16/23 02:00AM] Received item from Rks. Name: Collector necklace. Id: 19886, amount: 1	
[4/17/23 09:47AM] Gave item to Jroc. Name: Infinite overload potion (T3). Id: 23126, amount: 1	
[4/17/23 09:47AM] Received item from Jroc. Name: Tarn token. Id: 10835, amount: 300000	
[4/17/23 10:52AM] Received item from Fpk Merk. Name: Progressive Box [T2]. Id: 10029, amount: 2	
[4/17/23 10:58AM] Received item from Onlyfans. Name: Progressive Box [T2]. Id: 10029, amount: 2	
[4/17/23 11:22AM] Gave item to Inherited. Name: Maze Legs. Id: 5428, amount: 1	
[4/17/23 11:22AM] Gave item to Inherited. Name: Sinful Top. Id: 14732, amount: 1	
[4/17/23 11:22AM] Received item from Inherited. Name: Tarn token. Id: 10835, amount: 18022	
[4/17/23 11:26AM] Gave item to Coke. Name: Tarn token. Id: 10835, amount: 80000	
[4/17/23 11:26AM] Received item from Coke. Name: Emerald Coif. Id: 11001, amount: 1	
[4/17/23 11:26AM] Received item from Coke. Name: Emerald Chaps. Id: 11003, amount: 1	
[4/17/23 11:39AM] Gave item to Inherited. Name: Collector necklace. Id: 19886, amount: 1	
[4/17/23 11:39AM] Received item from Inherited. Name: Tarn token. Id: 10835, amount: 50701	
[4/17/23 12:01PM] Gave item to Onlyfans. Name: Tarn token. Id: 10835, amount: 200000	
[4/17/23 12:01PM] Received item from Onlyfans. Name: Aura (T6). Id: 23049, amount: 1	
[4/18/23 07:52AM] Gave item to Rhiannon. Name: $10 Bond. Id: 23057, amount: 1	
[4/18/23 07:52AM] Received item from Rhiannon. Name: Tarn token. Id: 10835, amount: 300544	
[4/18/23 08:13AM] Gave item to Onlyfans. Name: Tarn token. Id: 10835, amount: 250559	
[4/18/23 08:13AM] Received item from Onlyfans. Name: Emerald Chaps. Id: 11003, amount: 1	
[4/18/23 08:43AM] Received item from Slayer. Name: Lust Staff. Id: 8809, amount: 1	
[4/18/23 10:23AM] Gave item to Onlyfans. Name: $25 Bond. Id: 23058, amount: 1	
[4/18/23 10:23AM] Received item from Onlyfans. Name: Tarn token. Id: 10835, amount: 1000000	
[4/18/23 10:23AM] Received item from Onlyfans. Name: Executive Helm. Id: 4684, amount: 1	
[4/18/23 10:23AM] Received item from Onlyfans. Name: Onyx Legs. Id: 20095, amount: 1	
[4/18/23 10:23AM] Received item from Onlyfans. Name: Blood Body. Id: 8814, amount: 1	
[4/18/23 10:23AM] Received item from Onlyfans. Name: Gorvek Pet. Id: 23081, amount: 1	
[4/18/23 12:01PM] Gave item to Like My Peep. Name: Tarn token. Id: 10835, amount: 300213	
[4/18/23 12:01PM] Received item from Like My Peep. Name: Agumon Gloves. Id: 22159, amount: 1	
[4/19/23 10:08AM] Received item from Nobledefeat. Name: Doom Aura. Id: 12614, amount: 1	
[4/19/23 10:36AM] Gave item to 21a. Name: Lust Staff. Id: 8809, amount: 1	
[4/19/23 11:22AM] Gave item to Suh. Name: $25 Bond. Id: 23058, amount: 1	
[4/19/23 11:22AM] Received item from Suh. Name: Tarn token. Id: 10835, amount: 1250000	
[4/19/23 11:24AM] Gave item to Nobledefeat. Name: Tarn token. Id: 10835, amount: 2000122	
[4/19/23 11:24AM] Received item from Nobledefeat. Name: Agumon Boots. Id: 22158, amount: 1	
[4/19/23 11:24AM] Received item from Nobledefeat. Name: Agumon Body. Id: 22153, amount: 1	
[4/19/23 11:24AM] Received item from Nobledefeat. Name: Rune platebody (h5). Id: 19495, amount: 1	
[4/20/23 10:38AM] Received item from Onlyfans. Name: Infinite prayer potion (T3). Id: 23123, amount: 1	
[4/20/23 10:51AM] Gave item to Entropy. Name: Tarn token. Id: 10835, amount: 800433	
[4/20/23 10:51AM] Received item from Entropy. Name: Vote scroll. Id: 23020, amount: 40	
[4/20/23 10:52AM] Gave item to Like My Peep. Name: $25 Bond. Id: 23058, amount: 3	
[4/20/23 10:56AM] Gave item to Like My Peep. Name: $1 Scroll. Id: 10946, amount: 10	
