[4/20/23 08:16AM] Received item from Im A Potato. Name: Vote scroll. Id: 23020, amount: 100	
[4/20/23 08:17AM] Gave item to Im A Potato. Name: $25 Bond. Id: 23058, amount: 3	
[4/20/23 08:17AM] Gave item to Im A Potato. Name: Cursed Box. Id: 15003, amount: 1	
[4/20/23 08:17AM] Gave item to Im A Potato. Name: Gracious Box. Id: 15002, amount: 1	
[4/20/23 08:17AM] Gave item to Im A Potato. Name: $10 Bond. Id: 23057, amount: 1	
[4/20/23 08:17AM] Gave item to Im A Potato. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/20/23 08:17AM] Gave item to Im A Potato. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/20/23 08:17AM] Gave item to Im A Potato. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/20/23 08:17AM] Gave item to Im A Potato. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/20/23 08:17AM] Gave item to Im A Potato. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/20/23 08:17AM] Gave item to Im A Potato. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/20/23 08:17AM] Gave item to Im A Potato. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/20/23 08:17AM] Gave item to Im A Potato. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/20/23 08:17AM] Gave item to Im A Potato. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/20/23 08:17AM] Gave item to Im A Potato. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
