[4/19/23 05:47PM] Received item from Just Kirbs. Name: Zinq sword. Id: 23055, amount: 1	
[4/19/23 05:47PM] Received item from Just Kirbs. Name: Lava bones. Id: 2023, amount: 1168	
[4/19/23 06:10PM] Gave item to Zshana. Name: Tarn token. Id: 10835, amount: 992	
[4/19/23 06:10PM] Received item from Zshana. Name: Solar Staff. Id: 22135, amount: 1	
[4/19/23 06:10PM] Received item from Zshana. Name: Solar Robe Bottom. Id: 15647, amount: 1	
[4/19/23 06:10PM] Received item from Zshana. Name: Solar Hood. Id: 15645, amount: 1	
[4/19/23 06:10PM] Received item from Zshana. Name: Collector ring. Id: 4446, amount: 1	
[4/19/23 06:10PM] Received item from Zshana. Name: Solar Robe Bottom. Id: 15647, amount: 1	
[4/19/23 06:10PM] Received item from Zshana. Name: Obsidian Aura. Id: 12612, amount: 1	
[4/19/23 06:10PM] Received item from Zshana. Name: Solar Robe Top. Id: 15646, amount: 1	
[4/19/23 06:10PM] Received item from Zshana. Name: Warrior chestplate (mithril). Id: 20604, amount: 1	
[4/19/23 06:13PM] Received item from Zshana. Name: Demonlord Helm. Id: 14184, amount: 1	
[4/19/23 06:13PM] Received item from Zshana. Name: Tyrant Legs. Id: 14194, amount: 1	
[4/19/23 06:13PM] Received item from Zshana. Name: Evil Boots. Id: 14329, amount: 1	
[4/19/23 06:13PM] Received item from Zshana. Name: Aura (T6). Id: 23049, amount: 1	
[4/19/23 06:46PM] Received item from Onlyfans. Name: Collector necklace. Id: 19886, amount: 1	
[4/19/23 06:59PM] Gave item to Moist. Name: $1 Scroll. Id: 10946, amount: 15	
[4/19/23 06:59PM] Received item from Moist. Name: Collector necklace. Id: 19886, amount: 1	
[4/19/23 06:59PM] Received item from Moist. Name: Tarn token. Id: 10835, amount: 200000	
[4/19/23 07:37PM] Received item from Moist. Name: Anchor (Special). Id: 10887, amount: 1	
[4/19/23 08:09PM] Gave item to Moist. Name: $10 Bond. Id: 23057, amount: 1	
