[4/16/23 09:51PM] Received item from Zaryte. Name: Mystic staff. Id: 23026, amount: 1	
[4/16/23 09:52PM] Received item from Zaryte. Name: Sacred Scythe. Id: 17664, amount: 1	
[4/18/23 08:28AM] Gave item to Ruthie. Name: Tarn token. Id: 10835, amount: 50853	
[4/18/23 08:28AM] Received item from Ruthie. Name: Solar Robe Bottom. Id: 15647, amount: 1	
[4/18/23 10:08AM] Gave item to Onlyfans. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/18/23 10:08AM] Received item from Onlyfans. Name: Tarn token. Id: 10835, amount: 100000	
[4/18/23 10:34AM] Received item from Rhiannon. Name: Sanctum Golem Pet. Id: 19481, amount: 1	
[4/18/23 12:31PM] Gave item to Zshana. Name: DMG Potion (Mortal). Id: 3090, amount: 1	
[4/18/23 12:31PM] Gave item to Zshana. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/18/23 12:31PM] Received item from Zshana. Name: Tarn token. Id: 10835, amount: 1295000	
[4/18/23 02:39PM] Gave item to Onlyfans. Name: Tarn token. Id: 10835, amount: 650000	
[4/18/23 02:39PM] Received item from Onlyfans. Name: Soldier Legs. Id: 23077, amount: 1	
[4/18/23 03:37PM] Received item from Like My Peep. Name: Godly Bow. Id: 21018, amount: 1	
[4/18/23 03:37PM] Received item from Like My Peep. Name: Godly Body. Id: 14051, amount: 1	
[4/18/23 03:37PM] Received item from Like My Peep. Name: Godly Legs. Id: 14052, amount: 1	
[4/18/23 03:37PM] Received item from Like My Peep. Name: Godly Body. Id: 14051, amount: 1	
[4/18/23 03:37PM] Received item from Like My Peep. Name: Godly Cape. Id: 1485, amount: 1	
[4/18/23 03:37PM] Received item from Like My Peep. Name: Godly Helm. Id: 14050, amount: 1	
[4/18/23 03:37PM] Received item from Like My Peep. Name: Godly Boots. Id: 14053, amount: 1	
