[4/15/23 01:37AM] Received item from Kandonas. Name: Mystic staff. Id: 23026, amount: 1	
[4/15/23 02:47AM] Gave item to Slayer. Name: Aberrant Ring. Id: 8335, amount: 1	
[4/15/23 02:47AM] Gave item to Slayer. Name: Mystic body. Id: 23022, amount: 1	
[4/15/23 02:47AM] Gave item to Slayer. Name: Slayer ticket. Id: 5023, amount: 905	
[4/15/23 02:47AM] Gave item to Slayer. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/15/23 02:47AM] Gave item to Slayer. Name: EXP Potion (Divine). Id: 1033, amount: 1	
[4/15/23 02:47AM] Gave item to Slayer. Name: DMG Potion (Mortal). Id: 3090, amount: 1	
[4/15/23 02:47AM] Gave item to Slayer. Name: Tarn token. Id: 10835, amount: 2985	
[4/15/23 02:47AM] Gave item to Slayer. Name: Coin. Id: 995, amount: 19344483	
[4/15/23 02:47AM] Gave item to Slayer. Name: Lava bones. Id: 2023, amount: 542	
[4/15/23 02:47AM] Gave item to Slayer. Name: Zinq legs. Id: 23052, amount: 1	
[4/15/23 02:47AM] Gave item to Slayer. Name: Mystic gloves. Id: 23024, amount: 1	
[4/15/23 02:47AM] Gave item to Slayer. Name: Revenant Helm. Id: 17999, amount: 1	
[4/15/23 02:47AM] Gave item to Slayer. Name: Imperial amulet. Id: 20092, amount: 1	
[4/15/23 02:47AM] Gave item to Slayer. Name: Mystic book. Id: 23027, amount: 1	
[4/15/23 02:47AM] Gave item to Slayer. Name: Mystic staff. Id: 23026, amount: 1	
[4/16/23 05:26PM] Gave item to Slayer. Name: Vote scroll. Id: 23020, amount: 2	
