[4/21/23 10:32PM] Gave item to Immortal. Name: Starter Cannon. Id: 22083, amount: 1	
[4/21/23 10:32PM] Gave item to Immortal. Name: Starter Staff. Id: 22092, amount: 1	
[4/21/23 10:32PM] Received item from Immortal. Name: Starter Gloves. Id: 19946, amount: 1	
[4/21/23 10:32PM] Received item from Immortal. Name: Groudon Shield. Id: 13964, amount: 1	
[4/21/23 10:32PM] Received item from Immortal. Name: Solar Robe Bottom. Id: 15647, amount: 1	
[4/21/23 10:32PM] Received item from Immortal. Name: Varth Boots. Id: 22149, amount: 1	
[4/21/23 10:32PM] Received item from Immortal. Name: Aura (T6). Id: 23049, amount: 1	
[4/21/23 10:32PM] Received item from Immortal. Name: Owner's cape. Id: 7995, amount: 1	
[4/21/23 10:32PM] Received item from Immortal. Name: Zircon (Ranger). Id: 23093, amount: 1	
[4/21/23 10:32PM] Received item from Immortal. Name: Gold Enhancement. Id: 17391, amount: 1	
[4/21/23 10:32PM] Received item from Immortal. Name: Demon Bow. Id: 22134, amount: 1	
[4/21/23 10:32PM] Received item from Immortal. Name: Saiyan God Body. Id: 22130, amount: 1	
[4/21/23 10:32PM] Received item from Immortal. Name: Collector necklace. Id: 19886, amount: 1	
[4/21/23 10:32PM] Received item from Immortal. Name: Solar Hood. Id: 15645, amount: 1	
[4/21/23 10:32PM] Received item from Immortal. Name: Double Damage Scroll 1 Hour. Id: 15357, amount: 1	
[4/21/23 10:32PM] Received item from Immortal. Name: Double Damage Scroll 1 Hour. Id: 15357, amount: 1	
[4/21/23 10:32PM] Received item from Immortal. Name: Double Damage Scroll 1 Hour. Id: 15357, amount: 1	
[4/21/23 10:32PM] Received item from Immortal. Name: Double Damage Scroll 1 Hour. Id: 15357, amount: 1	
[4/21/23 10:32PM] Received item from Immortal. Name: Double Damage Scroll 1 Hour. Id: 15357, amount: 1	
[4/21/23 10:32PM] Received item from Immortal. Name: Lava bones. Id: 2023, amount: 560	
[4/21/23 10:32PM] Received item from Immortal. Name: Double Damage Scroll 1 Hour. Id: 15357, amount: 1	
[4/21/23 10:32PM] Received item from Immortal. Name: Infinite overload potion (T3). Id: 23126, amount: 1	
[4/21/23 10:32PM] Received item from Immortal. Name: Coin. Id: 995, amount: 426179451	
[4/21/23 10:32PM] Received item from Immortal. Name: Infinite healing potion (T3). Id: 23120, amount: 1	
[4/21/23 10:32PM] Received item from Immortal. Name: Tarn token. Id: 10835, amount: 1848888	
[4/21/23 10:32PM] Received item from Immortal. Name: Drop rate scroll. Id: 23178, amount: 1	
[4/21/23 10:32PM] Received item from Immortal. Name: $1 Scroll. Id: 10946, amount: 64	
[4/21/23 10:46PM] Received item from Immortal. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/21/23 10:46PM] Received item from Immortal. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/21/23 10:46PM] Received item from Immortal. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/21/23 10:46PM] Received item from Immortal. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/21/23 10:46PM] Received item from Immortal. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/21/23 10:52PM] Received item from Immortal. Name: Starter Staff. Id: 22092, amount: 1	
[4/22/23 08:18AM] Received item from Tuggy. Name: Saiyan God Hair. Id: 22132, amount: 1	
[4/22/23 08:28AM] Gave item to Tuggy. Name: Solar Hood. Id: 15645, amount: 1	
[4/22/23 10:10AM] Gave item to Oblivion. Name: $1 Scroll. Id: 10946, amount: 30	
[4/22/23 10:10AM] Received item from Oblivion. Name: Tarn token. Id: 10835, amount: 1350000	
[4/22/23 08:23PM] Gave item to Lungs. Name: Solar Staff. Id: 22135, amount: 1	
[4/22/23 08:24PM] Received item from Lungs. Name: Solar Staff. Id: 22135, amount: 1	
[4/22/23 08:25PM] Gave item to Lungs. Name: Groudon Body. Id: 19918, amount: 1	
[4/22/23 08:28PM] Gave item to Timoteo. Name: Solar Staff. Id: 22135, amount: 1	
[4/22/23 08:37PM] Gave item to Timoteo. Name: Collector necklace II. Id: 19888, amount: 1	
[4/22/23 08:38PM] Gave item to Roger. Name: Solar Staff. Id: 22135, amount: 1	
