[4/17/23 11:06PM] Received item from Slayer. Name: Antique Bow. Id: 23144, amount: 1	
[4/17/23 11:06PM] Received item from Slayer. Name: Lava bones. Id: 2023, amount: 5388	
[4/18/23 12:52AM] Received item from Slayer. Name: Collector necklace. Id: 19886, amount: 1	
[4/18/23 01:28AM] Gave item to Shellshocked. Name: Zinq sword. Id: 23055, amount: 1	
[4/18/23 01:28AM] Gave item to Shellshocked. Name: Zinq legs. Id: 23052, amount: 1	
[4/18/23 01:28AM] Gave item to Shellshocked. Name: Zinq helm. Id: 23050, amount: 1	
[4/18/23 01:28AM] Gave item to Shellshocked. Name: Zinq boots. Id: 23054, amount: 1	
[4/18/23 02:14AM] Received item from Slayer. Name: Executive Legs. Id: 4686, amount: 1	
[4/18/23 04:01AM] Received item from Kensas. Name: Lust Staff. Id: 8809, amount: 1	
[4/18/23 04:01AM] Received item from Kensas. Name: Solar Robe Bottom. Id: 15647, amount: 1	
[4/19/23 05:47PM] Gave item to Loonasee. Name: Zinq sword. Id: 23055, amount: 1	
[4/19/23 05:47PM] Gave item to Loonasee. Name: Lava bones. Id: 2023, amount: 1168	
[4/19/23 06:20PM] Gave item to Ascaris. Name: Collector necklace. Id: 19886, amount: 1	
[4/19/23 06:20PM] Received item from Ascaris. Name: Tarn token. Id: 10835, amount: 50000	
[4/19/23 07:28PM] Received item from Zaryte. Name: Solar Robe Top. Id: 15646, amount: 1	
[4/20/23 06:12AM] Gave item to Onlyfans. Name: $1 Scroll. Id: 10946, amount: 24	
[4/20/23 06:12AM] Received item from Onlyfans. Name: Tarn token. Id: 10835, amount: 1200000	
[4/20/23 06:37AM] Gave item to Onlyfans. Name: $1 Scroll. Id: 10946, amount: 14	
[4/20/23 06:37AM] Received item from Onlyfans. Name: Coin. Id: 995, amount: 782994449	
[4/21/23 12:27PM] Gave item to Oblivion. Name: Vote scroll. Id: 23020, amount: 42	
[4/21/23 12:27PM] Received item from Oblivion. Name: Tarn token. Id: 10835, amount: 1260000	
[4/22/23 08:29AM] Received item from Onlyfans. Name: Miner chestplate (steel). Id: 20583, amount: 1	
[4/23/23 06:35AM] Received item from Slayer. Name: Frieza Helm. Id: 11763, amount: 1	
[4/23/23 08:45AM] Gave item to Immortal. Name: Lava bones. Id: 2023, amount: 8155	
[4/24/23 02:09AM] Received item from Onlyfans. Name: Tarn token. Id: 10835, amount: 3500000	
[4/24/23 02:25AM] Received item from Onlyfans. Name: Drop rate scroll. Id: 23174, amount: 1	
[4/24/23 06:13AM] Received item from Nobledefeat. Name: Solar Staff. Id: 22135, amount: 1	
[4/24/23 07:07AM] Gave item to Ariana. Name: Deviant Sword. Id: 21023, amount: 1	
[4/24/23 07:07AM] Gave item to Ariana. Name: Executive Bow. Id: 5012, amount: 1	
[4/24/23 07:09AM] Gave item to Ariana. Name: Deviant Body. Id: 21021, amount: 1	
[4/24/23 07:43AM] Gave item to Nobledefeat. Name: Solar Staff. Id: 22135, amount: 1	
[4/24/23 07:51AM] Gave item to Nobledefeat. Name: $1 Scroll. Id: 10946, amount: 5	
[4/24/23 08:12AM] Received item from Like My Peep. Name: Owner's Staff. Id: 22230, amount: 1	
[4/24/23 09:30AM] Gave item to Nobledefeat. Name: $25 Bond. Id: 23058, amount: 1	
[4/24/23 09:30AM] Gave item to Nobledefeat. Name: $1 Scroll. Id: 10946, amount: 20	
[4/24/23 12:16PM] Gave item to Nobledefeat. Name: Tarn token. Id: 10835, amount: 1084201	
[4/24/23 12:16PM] Gave item to Nobledefeat. Name: $1 Scroll. Id: 10946, amount: 6	
[4/24/23 12:16PM] Received item from Nobledefeat. Name: Byakuya Pet. Id: 13775, amount: 1	
[4/24/23 02:26PM] Gave item to Like My Peep. Name: Owner's Staff. Id: 22230, amount: 1	
[4/24/23 02:32PM] Received item from Like My Peep. Name: Solar Staff. Id: 22135, amount: 1	
[4/24/23 03:46PM] Gave item to Nukeproof. Name: Soldier Sword. Id: 23079, amount: 1	
[4/24/23 03:46PM] Gave item to Nukeproof. Name: Calamity Pet. Id: 20585, amount: 1	
[4/25/23 04:03PM] Received item from Slayer. Name: Blood Enhancement. Id: 1857, amount: 1	
[4/25/23 05:36PM] Gave item to Slayer. Name: Blood Enhancement. Id: 1857, amount: 1	
