[4/23/23 06:10AM] Received item from Odin. Name: AFK ticket. Id: 5020, amount: 340	
[4/23/23 06:10AM] Received item from Odin. Name: Bronze pickaxe. Id: 1265, amount: 1	
[4/27/23 11:06AM] Received item from Bulba. Name: Rogue Body. Id: 17596, amount: 1	
[4/27/23 11:07AM] Gave item to Bourgondier. Name: Rogue Body. Id: 17596, amount: 1	
[4/27/23 11:07AM] Received item from Bourgondier. Name: Tarn token. Id: 10835, amount: 11687910	
[4/27/23 11:07AM] Received item from Bourgondier. Name: Goku Pet. Id: 13774, amount: 1	
[4/27/23 11:07AM] Received item from Bourgondier. Name: Yasuda Body. Id: 4077, amount: 1	
[4/27/23 11:07AM] Received item from Bourgondier. Name: Gold Enhancement. Id: 17391, amount: 1	
[4/27/23 11:17AM] Gave item to Odin. Name: Tarn token. Id: 10835, amount: 11687910	
[4/27/23 11:17AM] Gave item to Odin. Name: Goku Pet. Id: 13774, amount: 1	
[4/27/23 11:17AM] Gave item to Odin. Name: Yasuda Body. Id: 4077, amount: 1	
[4/27/23 11:17AM] Gave item to Odin. Name: Gold Enhancement. Id: 17391, amount: 1	
