[4/21/23 09:15AM] Gave item to Redx12. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/21/23 09:15AM] Received item from Redx12. Name: Tarn token. Id: 10835, amount: 1000000	
[4/21/23 09:20AM] Received item from Brazil. Name: Lava bones. Id: 2023, amount: 4300	
[4/21/23 09:20AM] Received item from Brazil. Name: EXP Potion (Divine). Id: 1033, amount: 1	
[4/21/23 09:28AM] Received item from Brazil. Name: Solar Staff. Id: 22135, amount: 1	
[4/21/23 09:36AM] Received item from Brazil. Name: Patience helm. Id: 23034, amount: 1	
[4/21/23 09:36AM] Received item from Brazil. Name: Starter Defender. Id: 19914, amount: 1	
[4/21/23 09:36AM] Received item from Brazil. Name: Starter Ring. Id: 23091, amount: 1	
[4/21/23 09:36AM] Received item from Brazil. Name: Aberrant Body. Id: 20593, amount: 1	
[4/21/23 09:36AM] Received item from Brazil. Name: Tormented Gloves. Id: 21040, amount: 1	
[4/21/23 09:36AM] Received item from Brazil. Name: Zinq boots. Id: 23054, amount: 1	
[4/21/23 09:36AM] Received item from Brazil. Name: Solar Robe Bottom. Id: 15647, amount: 1	
[4/21/23 09:36AM] Received item from Brazil. Name: Collector necklace. Id: 19886, amount: 1	
[4/21/23 09:36AM] Received item from Brazil. Name: Agumon Bow. Id: 22155, amount: 1	
[4/21/23 09:36AM] Received item from Brazil. Name: Tarn token. Id: 10835, amount: 926530	
[4/21/23 09:36AM] Received item from Brazil. Name: Inferno tokhaar-kal. Id: 18683, amount: 1	
[4/21/23 09:36AM] Received item from Brazil. Name: Coin. Id: 995, amount: 3277925	
[4/21/23 09:36AM] Received item from Brazil. Name: Lava bones. Id: 2023, amount: 65	
[4/21/23 09:36AM] Received item from Brazil. Name: $1 Scroll. Id: 10946, amount: 10	
[4/21/23 10:18AM] Received item from Brazil. Name: Slayer ticket. Id: 5023, amount: 1625	
[4/21/23 10:18AM] Received item from Brazil. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/21/23 10:18AM] Received item from Brazil. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/21/23 10:18AM] Received item from Brazil. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/21/23 10:18AM] Received item from Brazil. Name: Tarn token. Id: 10835, amount: 240000	
[4/21/23 10:18AM] Received item from Brazil. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/21/23 10:18AM] Received item from Brazil. Name: $1 Scroll. Id: 10946, amount: 1	
[4/21/23 01:37PM] Gave item to Bulba. Name: $1 Scroll. Id: 10946, amount: 15	
[4/21/23 01:37PM] Gave item to Bulba. Name: $25 Bond. Id: 23058, amount: 3	
[4/21/23 01:37PM] Gave item to Bulba. Name: $10 Bond. Id: 23057, amount: 1	
[4/21/23 01:37PM] Received item from Bulba. Name: Tarn token. Id: 10835, amount: 4500000	
[4/21/23 02:20PM] Gave item to Zaryte. Name: Tarn token. Id: 10835, amount: 1000000	
[4/21/23 02:20PM] Received item from Zaryte. Name: Solar Hood. Id: 15645, amount: 1	
[4/21/23 02:49PM] Received item from Nadez. Name: White Wand. Id: 22167, amount: 1	
[4/22/23 04:43AM] Received item from Lush. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/22/23 04:43AM] Received item from Lush. Name: EXP Potion (Divine). Id: 1033, amount: 1	
[4/22/23 04:43AM] Received item from Lush. Name: DMG Potion (Mortal). Id: 3090, amount: 1	
[4/22/23 04:43AM] Received item from Lush. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/22/23 04:43AM] Received item from Lush. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/22/23 04:43AM] Received item from Lush. Name: Vote scroll. Id: 23020, amount: 2	
[4/22/23 04:43AM] Received item from Lush. Name: Tarn token. Id: 10835, amount: 488	
[4/22/23 04:43AM] Received item from Lush. Name: Coin. Id: 995, amount: 6026627	
[4/22/23 06:07AM] Gave item to Oblivion. Name: $10 Bond. Id: 23057, amount: 1	
[4/22/23 06:07AM] Gave item to Oblivion. Name: $1 Scroll. Id: 10946, amount: 26	
[4/22/23 06:07AM] Received item from Oblivion. Name: Tarn token. Id: 10835, amount: 1620000	
[4/22/23 11:25AM] Gave item to 4bit. Name: Tarn token. Id: 10835, amount: 240000	
[4/22/23 11:25AM] Received item from 4bit. Name: Vote scroll. Id: 23020, amount: 6	
[4/22/23 11:30AM] Gave item to Brazil. Name: Vote scroll. Id: 23020, amount: 100	
[4/22/23 11:30AM] Received item from Brazil. Name: Double DR Scroll 1 Hour. Id: 15355, amount: 1	
[4/22/23 11:30AM] Received item from Brazil. Name: Double DR Scroll 1 Hour. Id: 15355, amount: 1	
[4/22/23 11:30AM] Received item from Brazil. Name: Azolla Berries. Id: 943, amount: 1	
[4/22/23 11:30AM] Received item from Brazil. Name: Clean Rosocely. Id: 795, amount: 1	
[4/22/23 11:30AM] Received item from Brazil. Name: Holy water. Id: 732, amount: 1	
[4/22/23 11:30AM] Received item from Brazil. Name: Clean Kunnerrel. Id: 928, amount: 1	
[4/22/23 11:30AM] Received item from Brazil. Name: Holy water. Id: 732, amount: 1	
[4/22/23 11:31AM] Received item from Brazil. Name: $10 Bond. Id: 23057, amount: 2	
[4/22/23 11:31AM] Received item from Brazil. Name: $25 Bond. Id: 23058, amount: 4	
[4/22/23 05:56PM] Gave item to Ronnie V2. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/22/23 05:56PM] Received item from Ronnie V2. Name: Tarn token. Id: 10835, amount: 100000	
[4/23/23 05:35AM] Received item from Brazil. Name: Tarn token. Id: 10835, amount: 3000000	
[4/26/23 05:44AM] Received item from Afkbrazil. Name: Tarn token. Id: 10835, amount: 16000000	
[4/26/23 05:44AM] Received item from Afkbrazil. Name: Vote scroll. Id: 23020, amount: 5	
[4/26/23 05:46AM] Received item from Lust. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/26/23 05:46AM] Received item from Lust. Name: EXP Potion (Divine). Id: 1033, amount: 1	
[4/26/23 05:46AM] Received item from Lust. Name: DMG Potion (Mortal). Id: 3090, amount: 1	
[4/26/23 05:46AM] Received item from Lust. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/26/23 05:46AM] Received item from Lust. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/26/23 05:46AM] Received item from Lust. Name: Vote scroll. Id: 23020, amount: 2	
[4/26/23 05:46AM] Received item from Lust. Name: PvM Casket. Id: 2736, amount: 5	
[4/26/23 05:49AM] Gave item to Asquad. Name: Tarn token. Id: 10835, amount: 10000000	
[4/26/23 05:49AM] Received item from Asquad. Name: Fazula Book. Id: 4072, amount: 1	
[4/26/23 05:58AM] Received item from Brazil. Name: Vote scroll. Id: 23020, amount: 6	
[4/26/23 05:58AM] Received item from Brazil. Name: Tarn token. Id: 10835, amount: 51138	
[4/26/23 05:58AM] Received item from Brazil. Name: $1 Scroll. Id: 10946, amount: 5	
[4/26/23 08:25AM] Received item from Live. Name: PvM Casket. Id: 2736, amount: 5	
[4/26/23 08:25AM] Received item from Live. Name: Vote scroll. Id: 23020, amount: 2	
[4/26/23 08:25AM] Received item from Live. Name: DMG Potion (Mortal). Id: 3090, amount: 1	
[4/26/23 08:25AM] Received item from Live. Name: EXP Potion (Divine). Id: 1033, amount: 1	
[4/26/23 08:25AM] Received item from Live. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/26/23 08:25AM] Received item from Live. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/26/23 08:25AM] Received item from Live. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/26/23 06:51PM] Received item from Afkbrazil. Name: Tarn token. Id: 10835, amount: 2300128	
[4/27/23 06:23AM] Received item from Afkbrazil. Name: $1 Scroll. Id: 10946, amount: 23	
[4/27/23 11:00AM] Received item from Arab. Name: Solar Staff. Id: 22135, amount: 1	
