[4/21/23 06:46AM] Received item from Forest. Name: Collector necklace. Id: 19886, amount: 1	
[4/21/23 06:46AM] Received item from Forest. Name: Groudon Shield. Id: 13964, amount: 1	
[4/21/23 06:46AM] Received item from Forest. Name: Groudon Staff. Id: 13640, amount: 1	
[4/21/23 06:46AM] Received item from Forest. Name: Groudon Body. Id: 19918, amount: 1	
[4/21/23 06:46AM] Received item from Forest. Name: Groudon Helm. Id: 21934, amount: 1	
[4/21/23 06:46AM] Received item from Forest. Name: Groudon Legs. Id: 19913, amount: 1	
[4/21/23 06:46AM] Received item from Forest. Name: Groudon Boots. Id: 3107, amount: 1	
[4/21/23 06:46AM] Received item from Forest. Name: Solar Staff. Id: 22135, amount: 1	
[4/21/23 07:05AM] Received item from Lun4. Name: Antique Bow. Id: 23144, amount: 1	
[4/21/23 11:06AM] Gave item to Jordu. Name: Groudon Legs. Id: 19913, amount: 1	
[4/21/23 11:06AM] Gave item to Jordu. Name: Groudon Body. Id: 19918, amount: 1	
[4/21/23 11:06AM] Gave item to Jordu. Name: Groudon Helm. Id: 21934, amount: 1	
[4/21/23 11:06AM] Gave item to Jordu. Name: Groudon Shield. Id: 13964, amount: 1	
[4/21/23 11:06AM] Gave item to Jordu. Name: Groudon Boots. Id: 3107, amount: 1	
[4/21/23 11:06AM] Gave item to Jordu. Name: Solar Staff. Id: 22135, amount: 1	
