[4/19/23 04:07PM] Gave item to Zshana. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/19/23 04:07PM] Received item from Zshana. Name: Tarn token. Id: 10835, amount: 750000	
[4/19/23 05:08PM] Gave item to Aaron. Name: Tarn token. Id: 10835, amount: 66560	
[4/19/23 05:08PM] Received item from Aaron. Name: Collector necklace. Id: 19886, amount: 1	
[4/19/23 05:26PM] Gave item to Dup. Name: Tarn token. Id: 10835, amount: 701371	
[4/19/23 05:26PM] Received item from Dup. Name: Lust Staff. Id: 8809, amount: 1	
[4/19/23 05:26PM] Received item from Dup. Name: Lust Legging. Id: 8808, amount: 1	
[4/19/23 05:26PM] Received item from Dup. Name: Lust Poncho. Id: 8807, amount: 1	
[4/19/23 05:26PM] Received item from Dup. Name: Lust Visor. Id: 8806, amount: 1	
[4/19/23 05:26PM] Received item from Dup. Name: Lust Visor. Id: 8806, amount: 1	
[4/19/23 05:26PM] Received item from Dup. Name: Lust Legging. Id: 8808, amount: 1	
[4/19/23 05:26PM] Received item from Dup. Name: Lust Legging. Id: 8808, amount: 1	
[4/19/23 05:26PM] Received item from Dup. Name: Maze Maul. Id: 17710, amount: 1	
[4/19/23 05:26PM] Received item from Dup. Name: Maze Maul. Id: 17710, amount: 1	
[4/19/23 05:26PM] Received item from Dup. Name: Maze Cape. Id: 17684, amount: 1	
[4/19/23 05:26PM] Received item from Dup. Name: Lust Staff. Id: 8809, amount: 1	
[4/21/23 09:34PM] Received item from Kabal. Name: Solar Staff. Id: 22135, amount: 1	
[4/21/23 09:34PM] Received item from Kabal. Name: Solar Robe Top. Id: 15646, amount: 1	
[4/21/23 09:34PM] Received item from Kabal. Name: Solar Robe Bottom. Id: 15647, amount: 1	
