[4/19/23 12:06PM] Received item from Wr3ckedyou. Name: Progressive Box [T1]. Id: 10025, amount: 1	
[4/19/23 01:08PM] Received item from Sad. Name: Lust Legging. Id: 8808, amount: 1	
[4/19/23 01:11PM] Received item from Kingrock. Name: Infinite overload potion (T3). Id: 23126, amount: 1	
[4/19/23 01:11PM] Received item from Kingrock. Name: Miner gauntlets (adamant). Id: 20590, amount: 1	
[4/19/23 05:09PM] Gave item to Onlyfans. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/19/23 05:09PM] Received item from Onlyfans. Name: Tarn token. Id: 10835, amount: 1000000	
[4/20/23 10:37AM] Gave item to Mana. Name: Tarn token. Id: 10835, amount: 250987	
[4/20/23 10:37AM] Received item from Mana. Name: Aura (T6). Id: 23049, amount: 1	
[4/20/23 10:42AM] Gave item to Asoich. Name: Tarn token. Id: 10835, amount: 2500117	
[4/20/23 10:42AM] Received item from Asoich. Name: Demon Bow. Id: 22134, amount: 1	
[4/20/23 01:10PM] Gave item to 2 Sexy Bro. Name: Antique Bow. Id: 23144, amount: 1	
[4/23/23 08:08AM] Gave item to Pjk. Name: Tarn token. Id: 10835, amount: 3000420	
[4/23/23 08:08AM] Received item from Pjk. Name: Owner's cape. Id: 7995, amount: 1	
