[4/17/23 03:29PM] Gave item to Slayer. Name: Tarn token. Id: 10835, amount: 5000	
[4/17/23 03:29PM] Received item from Slayer. Name: Antique Staff. Id: 23145, amount: 1	
[4/18/23 04:04PM] Received item from Kingsly. Name: DMG Potion (Mortal). Id: 3090, amount: 1	
[4/18/23 04:04PM] Received item from Kingsly. Name: EXP Potion (Divine). Id: 1033, amount: 1	
[4/18/23 04:04PM] Received item from Kingsly. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/18/23 04:04PM] Received item from Kingsly. Name: Progressive Box [T1]. Id: 10025, amount: 1	
[4/18/23 04:04PM] Received item from Kingsly. Name: PvM Casket. Id: 2736, amount: 5	
[4/18/23 04:04PM] Received item from Kingsly. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/18/23 04:04PM] Received item from Kingsly. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/18/23 04:04PM] Received item from Kingsly. Name: Vote scroll. Id: 23020, amount: 2	
[4/18/23 04:04PM] Received item from Kingsly. Name: Coin. Id: 995, amount: 2000000	
[4/18/23 05:48PM] Gave item to Author. Name: $1 Scroll. Id: 10946, amount: 24	
[4/18/23 05:48PM] Received item from Author. Name: Rune platebody (h2). Id: 19486, amount: 1	
[4/20/23 05:19PM] Gave item to Zaryte. Name: Owner's Wings. Id: 22237, amount: 1	
[4/20/23 05:19PM] Received item from Zaryte. Name: Elite Bow. Id: 8411, amount: 1	
[4/21/23 12:26PM] Gave item to Jix. Name: Lucifer body. Id: 22101, amount: 1	
[4/21/23 12:26PM] Gave item to Jix. Name: Groudon Staff. Id: 13640, amount: 1	
[4/21/23 12:26PM] Received item from Jix. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/22/23 12:32PM] Gave item to Duke. Name: Fazula Legs. Id: 4068, amount: 1	
[4/22/23 12:32PM] Received item from Duke. Name: Tarn token. Id: 10835, amount: 6869769	
[4/22/23 12:32PM] Received item from Duke. Name: Vote scroll. Id: 23020, amount: 30	
[4/26/23 12:43PM] Gave item to 2147m. Name: Black Goku Body. Id: 14446, amount: 1	
[4/26/23 12:43PM] Received item from 2147m. Name: Tarn token. Id: 10835, amount: 8000000	
[4/26/23 12:43PM] Received item from 2147m. Name: Tyrant Legs. Id: 14194, amount: 1	
[4/27/23 03:56PM] Gave item to Oblivion. Name: Black Goku Body. Id: 14446, amount: 1	
[4/27/23 03:56PM] Received item from Oblivion. Name: Tarn token. Id: 10835, amount: 10470704	
[4/27/23 07:04PM] Gave item to Corporate. Name: Solar Robe Bottom. Id: 15647, amount: 1	
[4/27/23 07:04PM] Gave item to Corporate. Name: Executive Body. Id: 4685, amount: 1	
[4/27/23 07:04PM] Gave item to Corporate. Name: Zinq shield. Id: 23056, amount: 1	
[4/27/23 07:04PM] Gave item to Corporate. Name: Rogue Gloves. Id: 22123, amount: 1	
[4/27/23 07:04PM] Gave item to Corporate. Name: Agumon Boots. Id: 22158, amount: 1	
[4/27/23 07:04PM] Gave item to Corporate. Name: Solar Staff. Id: 22135, amount: 1	
[4/27/23 07:04PM] Gave item to Corporate. Name: Solar Hood. Id: 15645, amount: 1	
[4/27/23 07:06PM] Gave item to Corporate. Name: Lilinryss Pet. Id: 19489, amount: 1	
