[4/21/23 10:37AM] Gave item to Gekyume. Name: Aura (T6). Id: 23049, amount: 1	
[4/21/23 10:37AM] Received item from Gekyume. Name: Tarn token. Id: 10835, amount: 1250000	
[4/21/23 10:46AM] Gave item to Onlyfans. Name: $1 Scroll. Id: 10946, amount: 5	
[4/21/23 10:46AM] Received item from Onlyfans. Name: Evil Body. Id: 14327, amount: 1	
[4/21/23 10:51AM] Gave item to Onlyfans. Name: Aura (T6). Id: 23049, amount: 1	
[4/21/23 10:51AM] Received item from Onlyfans. Name: Black platebody (h4). Id: 19490, amount: 1	
[4/21/23 10:51AM] Received item from Onlyfans. Name: Evil Gloves. Id: 14323, amount: 1	
[4/21/23 11:31AM] Received item from Princespeach. Name: Cursed Box. Id: 15003, amount: 1	
[4/21/23 11:41AM] Received item from Alex. Name: Executive Bow. Id: 5012, amount: 1	
[4/21/23 01:08PM] Gave item to Author. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/21/23 01:08PM] Received item from Author. Name: Tarn token. Id: 10835, amount: 1000165	
[4/26/23 03:28AM] Gave item to G2. Name: Vote scroll. Id: 23020, amount: 10	
[4/26/23 03:29AM] Gave item to G2. Name: Vote scroll. Id: 23020, amount: 12	
[4/26/23 03:29AM] Received item from G2. Name: $10 Bond. Id: 23057, amount: 1	
[4/26/23 03:29AM] Received item from G2. Name: Coin. Id: 995, amount: 5000000	
[4/26/23 03:32AM] Received item from G2. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/26/23 03:32AM] Received item from G2. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
