[4/16/23 07:35AM] Received item from K0000. Name: Antique Sword. Id: 23146, amount: 1	
[4/16/23 07:35AM] Received item from K0000. Name: Blurite Boots. Id: 19989, amount: 1	
[4/16/23 07:39AM] Received item from Pimpin. Name: Revenant Boots. Id: 18009, amount: 1	
[4/16/23 07:39AM] Received item from Pimpin. Name: Revenant Wings. Id: 18005, amount: 1	
[4/16/23 07:39AM] Received item from Pimpin. Name: Revenant Legs. Id: 18003, amount: 1	
[4/16/23 07:53AM] Received item from K0000. Name: Lava bones. Id: 2023, amount: 110	
[4/16/23 07:56AM] Received item from K0000. Name: Infinite healing potion (T3). Id: 23120, amount: 1	
[4/18/23 08:59PM] Gave item to Happy. Name: Tarn token. Id: 10835, amount: 350000	
[4/18/23 08:59PM] Received item from Happy. Name: Emerald Coif. Id: 11001, amount: 1	
[4/20/23 02:35PM] Received item from Zshana. Name: Emerald Body. Id: 11002, amount: 1	
[4/21/23 06:38PM] Gave item to Onlyfans. Name: Owner's Boots. Id: 22235, amount: 1	
[4/21/23 06:38PM] Received item from Onlyfans. Name: Tarn token. Id: 10835, amount: 10000000	
[4/21/23 06:38PM] Received item from Onlyfans. Name: Executive Bow. Id: 5012, amount: 1	
[4/21/23 06:38PM] Received item from Onlyfans. Name: Yasuda Body. Id: 4077, amount: 1	
[4/21/23 06:38PM] Received item from Onlyfans. Name: Yasuda Scythe. Id: 3472, amount: 1	
[4/21/23 06:38PM] Received item from Onlyfans. Name: Yasuda Wings. Id: 3470, amount: 1	
[4/21/23 06:38PM] Received item from Onlyfans. Name: Yasuda Legs. Id: 3473, amount: 1	
[4/24/23 03:06PM] Gave item to Author. Name: Owner's Halo. Id: 22239, amount: 1	
[4/24/23 03:06PM] Gave item to Author. Name: Owner's Shield. Id: 22240, amount: 1	
[4/24/23 03:06PM] Received item from Author. Name: Solar Staff. Id: 22135, amount: 1	
[4/24/23 03:06PM] Received item from Author. Name: Fazula Book. Id: 4072, amount: 1	
[4/24/23 03:06PM] Received item from Author. Name: Tarn token. Id: 10835, amount: 111650000	
[4/24/23 03:06PM] Received item from Author. Name: Fazula Staff. Id: 4071, amount: 1	
[4/24/23 03:06PM] Received item from Author. Name: Owner's Sword. Id: 22229, amount: 1	
[4/24/23 03:06PM] Received item from Author. Name: Janemba Pet. Id: 20602, amount: 1	
