[4/20/23 07:35AM] Received item from Arab. Name: Inferno Boots. Id: 13305, amount: 1	
[4/20/23 07:35AM] Received item from Arab. Name: Forsaken Helm. Id: 14910, amount: 1	
[4/20/23 07:35AM] Received item from Arab. Name: Patience boots. Id: 23038, amount: 1	
[4/20/23 07:35AM] Received item from Arab. Name: Patience body. Id: 23035, amount: 1	
[4/20/23 07:35AM] Received item from Arab. Name: Unknown Helm. Id: 21042, amount: 1	
[4/20/23 07:35AM] Received item from Arab. Name: Solar Staff. Id: 22135, amount: 1	
[4/20/23 07:36AM] Gave item to Arab. Name: Vote scroll. Id: 23020, amount: 3	
[4/20/23 07:36AM] Gave item to Arab. Name: $1 Scroll. Id: 10946, amount: 5	
[4/20/23 12:25PM] Gave item to Arab. Name: Vote scroll. Id: 23020, amount: 6	
[4/20/23 12:25PM] Gave item to Arab. Name: $1 Scroll. Id: 10946, amount: 7	
[4/20/23 12:25PM] Gave item to Arab. Name: Coin. Id: 995, amount: 13347351	
[4/20/23 01:36PM] Gave item to Arab. Name: $1 Scroll. Id: 10946, amount: 5	
[4/20/23 01:36PM] Gave item to Arab. Name: Vote scroll. Id: 23020, amount: 6	
[4/20/23 02:54PM] Gave item to Arab. Name: Vote scroll. Id: 23020, amount: 6	
[4/20/23 02:54PM] Gave item to Arab. Name: $1 Scroll. Id: 10946, amount: 5	
[4/20/23 03:24PM] Gave item to Arab. Name: $1 Scroll. Id: 10946, amount: 5	
[4/20/23 03:24PM] Gave item to Arab. Name: Tarn token. Id: 10835, amount: 3478	
[4/20/23 03:24PM] Gave item to Arab. Name: Coin. Id: 995, amount: 3936875	
[4/20/23 04:45PM] Gave item to Arab. Name: Vote scroll. Id: 23020, amount: 6	
[4/20/23 04:45PM] Gave item to Arab. Name: $1 Scroll. Id: 10946, amount: 5	
[4/20/23 06:23PM] Gave item to Mad. Name: $1 Scroll. Id: 10946, amount: 2	
[4/20/23 06:41PM] Gave item to Arab. Name: $1 Scroll. Id: 10946, amount: 5	
[4/20/23 06:41PM] Gave item to Arab. Name: Vote scroll. Id: 23020, amount: 3	
[4/21/23 04:17AM] Received item from Arab. Name: Collector necklace. Id: 19886, amount: 1	
[4/21/23 04:24AM] Gave item to Arab. Name: $1 Scroll. Id: 10946, amount: 5	
[4/21/23 04:24AM] Gave item to Arab. Name: Vote scroll. Id: 23020, amount: 6	
[4/21/23 08:00AM] Received item from Mad. Name: Vote scroll. Id: 23020, amount: 7	
[4/21/23 08:00AM] Gave item to Arab. Name: $10 Bond. Id: 23057, amount: 1	
[4/21/23 08:00AM] Gave item to Arab. Name: $1 Scroll. Id: 10946, amount: 5	
[4/21/23 08:00AM] Gave item to Arab. Name: Coin. Id: 995, amount: 11594723	
[4/21/23 08:00AM] Gave item to Arab. Name: Tarn token. Id: 10835, amount: 4790	
[4/21/23 08:37AM] Gave item to Arab. Name: $1 Scroll. Id: 10946, amount: 14	
[4/21/23 08:37AM] Gave item to Arab. Name: Coin. Id: 995, amount: 25670023	
[4/21/23 08:50AM] Gave item to Arab. Name: $1 Scroll. Id: 10946, amount: 18	
[4/21/23 08:50AM] Gave item to Arab. Name: Coin. Id: 995, amount: 6718314	
[4/21/23 08:50AM] Gave item to Arab. Name: Vote scroll. Id: 23020, amount: 9	
[4/21/23 09:58AM] Gave item to Arab. Name: $1 Scroll. Id: 10946, amount: 5	
[4/21/23 09:58AM] Gave item to Arab. Name: Vote scroll. Id: 23020, amount: 3	
[4/21/23 03:10PM] Gave item to Arab. Name: $1 Scroll. Id: 10946, amount: 10	
[4/21/23 03:10PM] Gave item to Arab. Name: Vote scroll. Id: 23020, amount: 12	
[4/21/23 06:40PM] Gave item to Arab. Name: $1 Scroll. Id: 10946, amount: 10	
[4/21/23 06:40PM] Gave item to Arab. Name: Vote scroll. Id: 23020, amount: 9	
[4/22/23 03:42AM] Gave item to Arab. Name: $1 Scroll. Id: 10946, amount: 5	
[4/22/23 03:42AM] Gave item to Arab. Name: Vote scroll. Id: 23020, amount: 3	
[4/22/23 10:41AM] Gave item to Arab. Name: $1 Scroll. Id: 10946, amount: 4	
[4/22/23 11:08AM] Gave item to Arab. Name: $1 Scroll. Id: 10946, amount: 5	
[4/22/23 11:08AM] Gave item to Arab. Name: Vote scroll. Id: 23020, amount: 3	
[4/22/23 12:00PM] Gave item to Arab. Name: $1 Scroll. Id: 10946, amount: 15	
[4/22/23 12:00PM] Gave item to Arab. Name: Vote scroll. Id: 23020, amount: 6	
[4/22/23 01:32PM] Gave item to Arab. Name: $1 Scroll. Id: 10946, amount: 5	
[4/22/23 01:32PM] Gave item to Arab. Name: Vote scroll. Id: 23020, amount: 3	
[4/22/23 03:24PM] Gave item to Arab. Name: $1 Scroll. Id: 10946, amount: 5	
[4/22/23 03:24PM] Gave item to Arab. Name: Vote scroll. Id: 23020, amount: 3	
[4/22/23 04:39PM] Gave item to Arab. Name: $1 Scroll. Id: 10946, amount: 16	
[4/22/23 04:39PM] Gave item to Arab. Name: Vote scroll. Id: 23020, amount: 9	
[4/22/23 04:39PM] Gave item to Arab. Name: Coin. Id: 995, amount: 11307435	
[4/23/23 02:55PM] Gave item to Arab. Name: $1 Scroll. Id: 10946, amount: 5	
[4/23/23 02:55PM] Gave item to Arab. Name: Vote scroll. Id: 23020, amount: 3	
[4/24/23 05:07AM] Gave item to Arab. Name: $1 Scroll. Id: 10946, amount: 5	
[4/24/23 05:07AM] Gave item to Arab. Name: Vote scroll. Id: 23020, amount: 3	
