[4/18/23 03:17PM] Received item from Roses. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/18/23 03:17PM] Received item from Roses. Name: Infinite overload potion (T1). Id: 23124, amount: 1	
[4/18/23 03:17PM] Received item from Roses. Name: DMG Potion (Mortal). Id: 3090, amount: 1	
[4/18/23 03:17PM] Received item from Roses. Name: EXP Potion (Divine). Id: 1033, amount: 1	
[4/18/23 03:17PM] Received item from Roses. Name: Vote scroll. Id: 23020, amount: 5	
[4/18/23 03:17PM] Received item from Roses. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/18/23 03:17PM] Received item from Roses. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/18/23 03:17PM] Received item from Roses. Name: Solar Hood. Id: 15645, amount: 1	
[4/18/23 03:20PM] Received item from Nobledefeat. Name: Infinite overload potion (T3). Id: 23126, amount: 1	
[4/18/23 03:20PM] Received item from Nobledefeat. Name: Infinite healing potion (T1). Id: 23118, amount: 1	
[4/18/23 06:51PM] Gave item to Onlyfans. Name: Tarn token. Id: 10835, amount: 1000000	
[4/18/23 06:51PM] Received item from Onlyfans. Name: Miner chestplate (rune). Id: 20586, amount: 1	
[4/18/23 06:51PM] Received item from Onlyfans. Name: Gladiator Boots. Id: 15201, amount: 1	
