[4/17/23 05:02AM] Received item from Professor. Name: Lava bones. Id: 2023, amount: 1000	
[4/21/23 11:24AM] Gave item to Onlyfans. Name: $1 Scroll. Id: 10946, amount: 29	
[4/21/23 11:24AM] Received item from Onlyfans. Name: Evil Body. Id: 14327, amount: 1	
[4/21/23 11:24AM] Received item from Onlyfans. Name: Executive Bow. Id: 5012, amount: 1	
[4/21/23 11:24AM] Received item from Onlyfans. Name: Groudon Helm. Id: 21934, amount: 1	
[4/21/23 11:24AM] Received item from Onlyfans. Name: Black platebody (h4). Id: 19490, amount: 1	
[4/21/23 11:24AM] Received item from Onlyfans. Name: Executive Boots. Id: 8274, amount: 1	
[4/21/23 11:25AM] Received item from Loonasee. Name: Miner chestplate (mithril). Id: 20584, amount: 1	
[4/21/23 11:29AM] Received item from Onlyfans. Name: Miner chestplate (adamant). Id: 20585, amount: 1	
[4/21/23 11:30AM] Gave item to Loonasee. Name: Miner chestplate (mithril). Id: 20584, amount: 1	
[4/21/23 02:17PM] Received item from Xcrystalx. Name: Lava bones. Id: 2023, amount: 20667	
[4/21/23 02:17PM] Received item from Ruthie. Name: Lava bones. Id: 2023, amount: 1200	
[4/21/23 02:18PM] Received item from Liam. Name: Lava bones. Id: 2023, amount: 2001	
