[4/19/23 02:31PM] Gave item to Professor. Name: Vote scroll. Id: 23020, amount: 3	
[4/19/23 02:31PM] Received item from Professor. Name: Tarn token. Id: 10835, amount: 44385	
[4/19/23 02:34PM] Gave item to Professor. Name: Tarn token. Id: 10835, amount: 50822	
[4/19/23 02:34PM] Received item from Professor. Name: $1 Scroll. Id: 10946, amount: 1	
[4/20/23 08:56AM] Gave item to Resi. Name: $10 Bond. Id: 23057, amount: 1	
[4/20/23 08:56AM] Received item from Resi. Name: Tarn token. Id: 10835, amount: 500000	
[4/27/23 10:41AM] Gave item to Elven. Name: Tarn token. Id: 10835, amount: 9350448	
[4/27/23 10:41AM] Received item from Elven. Name: Solar Staff. Id: 22135, amount: 1	
[4/27/23 11:02AM] Gave item to Wr3ckedyou. Name: Imperial Minigun. Id: 18636, amount: 1	
[4/27/23 11:02AM] Gave item to Wr3ckedyou. Name: Imperial Minigun. Id: 18636, amount: 1	
[4/27/23 11:02AM] Gave item to Wr3ckedyou. Name: Groudon Staff. Id: 13640, amount: 1	
[4/27/23 11:02AM] Gave item to Wr3ckedyou. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
