[4/22/23 02:33PM] Gave item to Demon. Name: Blurite Katana. Id: 14484, amount: 1	
[4/22/23 02:41PM] Gave item to Demon. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/22/23 02:41PM] Gave item to Demon. Name: Lava bones. Id: 2023, amount: 67	
[4/22/23 02:41PM] Gave item to Demon. Name: Coin. Id: 995, amount: 1008100	
[4/22/23 02:42PM] Gave item to Demon. Name: Blurite Body. Id: 19985, amount: 1	
[4/22/23 02:42PM] Gave item to Demon. Name: Blurite Amulet. Id: 19991, amount: 1	
[4/22/23 02:42PM] Gave item to Demon. Name: Blurite Ring. Id: 19992, amount: 1	
[4/22/23 02:42PM] Gave item to Demon. Name: Blurite Helm. Id: 19984, amount: 1	
[4/22/23 02:42PM] Gave item to Demon. Name: Blurite Cape. Id: 20400, amount: 1	
[4/22/23 02:42PM] Gave item to Demon. Name: Blurite Katana. Id: 14484, amount: 1	
[4/22/23 02:42PM] Gave item to Demon. Name: Blurite Bow. Id: 22175, amount: 1	
[4/22/23 02:42PM] Gave item to Demon. Name: Blurite Staff. Id: 22174, amount: 1	
[4/22/23 02:42PM] Gave item to Demon. Name: Blurite Staff. Id: 22174, amount: 1	
[4/22/23 02:42PM] Gave item to Demon. Name: Blurite Staff. Id: 22174, amount: 1	
[4/22/23 02:42PM] Gave item to Demon. Name: Blurite Staff. Id: 22174, amount: 1	
[4/22/23 02:42PM] Gave item to Demon. Name: Blurite Gloves. Id: 19988, amount: 1	
[4/22/23 02:42PM] Gave item to Demon. Name: Blurite Boots. Id: 19989, amount: 1	
[4/22/23 02:42PM] Gave item to Demon. Name: Blurite Legs. Id: 19986, amount: 1	
[4/22/23 02:43PM] Gave item to Demon. Name: Blurite Ring. Id: 19992, amount: 1	
[4/22/23 02:43PM] Gave item to Demon. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/22/23 02:43PM] Gave item to Demon. Name: Super restore (4). Id: 3025, amount: 95	
[4/22/23 02:43PM] Gave item to Demon. Name: Fury shark. Id: 17818, amount: 89	
[4/22/23 02:43PM] Gave item to Demon. Name: Blurite Amulet. Id: 19991, amount: 1	
[4/22/23 04:35PM] Received item from Demon. Name: Imperial Staff. Id: 18629, amount: 1	
