[4/21/23 03:11PM] Gave item to Boms. Name: EXP Potion (Divine). Id: 1033, amount: 1	
[4/21/23 03:11PM] Gave item to Boms. Name: DMG Potion (Mortal). Id: 3090, amount: 1	
[4/21/23 03:11PM] Gave item to Boms. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/21/23 03:11PM] Gave item to Boms. Name: Progressive Box [T1]. Id: 10025, amount: 1	
[4/21/23 03:11PM] Gave item to Boms. Name: Imperial Box. Id: 14487, amount: 1	
[4/21/23 03:11PM] Gave item to Boms. Name: Imperial Box. Id: 14487, amount: 1	
[4/21/23 03:11PM] Gave item to Boms. Name: PvM Casket. Id: 2736, amount: 5	
[4/21/23 03:11PM] Gave item to Boms. Name: Vote scroll. Id: 23020, amount: 2	
[4/21/23 03:11PM] Gave item to Boms. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/21/23 03:11PM] Gave item to Boms. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/21/23 03:11PM] Received item from Boms. Name: Grapevine. Id: 945, amount: 1	
[4/21/23 03:11PM] Received item from Boms. Name: Clean Verinise. Id: 815, amount: 1	
[4/21/23 03:11PM] Received item from Boms. Name: Clean Fennel. Id: 916, amount: 2	
[4/21/23 03:11PM] Received item from Boms. Name: Clean Ralorage. Id: 919, amount: 1	
[4/21/23 03:11PM] Received item from Boms. Name: Clean Kunnerrel. Id: 928, amount: 1	
