[4/21/23 12:29AM] Received item from O T T E R. Name: Gold Enhancement. Id: 17391, amount: 1	
[4/21/23 02:31AM] Received item from Nobledefeat. Name: Solar Staff. Id: 22135, amount: 1	
[4/22/23 05:40AM] Gave item to Gekyume. Name: $1 Scroll. Id: 10946, amount: 3	
[4/22/23 05:40AM] Received item from Gekyume. Name: Infinite overload potion (T1). Id: 23124, amount: 1	
[4/22/23 05:40AM] Received item from Gekyume. Name: Lili Helm. Id: 22136, amount: 1	
[4/22/23 05:42AM] Gave item to Slayer. Name: $1 Scroll. Id: 10946, amount: 1	
[4/22/23 05:42AM] Received item from Slayer. Name: Tarn token. Id: 10835, amount: 45000	
[4/22/23 06:02AM] Gave item to A Fatality. Name: $1 Scroll. Id: 10946, amount: 7	
[4/22/23 06:02AM] Received item from A Fatality. Name: Lili Boots. Id: 22141, amount: 1	
[4/22/23 06:02AM] Received item from A Fatality. Name: Lili Aura. Id: 22142, amount: 1	
[4/22/23 06:02AM] Received item from A Fatality. Name: Lili Gloves. Id: 22139, amount: 1	
[4/22/23 06:09AM] Received item from Loot. Name: Emerald Body. Id: 11002, amount: 1	
[4/22/23 06:29AM] Gave item to A Fatality. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/22/23 06:29AM] Received item from A Fatality. Name: Tarn token. Id: 10835, amount: 300000	
[4/22/23 06:38AM] Gave item to A Fatality. Name: Tarn token. Id: 10835, amount: 150000	
[4/22/23 06:38AM] Received item from A Fatality. Name: Lili Staff. Id: 22143, amount: 1	
[4/22/23 06:52AM] Received item from Loot. Name: Solar Robe Top. Id: 15646, amount: 1	
[4/22/23 07:43AM] Gave item to Gekyume. Name: $1 Scroll. Id: 10946, amount: 2	
[4/22/23 07:43AM] Received item from Gekyume. Name: Tarn token. Id: 10835, amount: 70000	
[4/22/23 02:40PM] Received item from Sad. Name: Soldier Body. Id: 23076, amount: 1	
