[4/23/23 07:17AM] Received item from Kabal. Name: Lava bones. Id: 2023, amount: 5335	
[4/23/23 07:27AM] Received item from Onlyfans. Name: $10 Bond. Id: 23057, amount: 1	
[4/23/23 07:27AM] Received item from Onlyfans. Name: Varth Helm. Id: 22145, amount: 1	
[4/23/23 07:27AM] Received item from Onlyfans. Name: Lili Body. Id: 22137, amount: 1	
[4/23/23 07:27AM] Received item from Onlyfans. Name: Varth Legs. Id: 22147, amount: 1	
[4/23/23 07:27AM] Received item from Onlyfans. Name: Lili Staff. Id: 22143, amount: 1	
[4/23/23 07:27AM] Received item from Onlyfans. Name: Varth Teddy. Id: 22151, amount: 1	
[4/23/23 07:34AM] Received item from Onlyfans. Name: Collector necklace. Id: 19886, amount: 1	
[4/23/23 08:14AM] Received item from Onlyfans. Name: Lava bones. Id: 2023, amount: 6115	
[4/23/23 10:04AM] Gave item to Xtc. Name: Owner's Body. Id: 22233, amount: 1	
[4/23/23 10:04AM] Received item from Xtc. Name: $25 Bond. Id: 23058, amount: 1	
[4/23/23 10:04AM] Received item from Xtc. Name: $10 Bond. Id: 23057, amount: 1	
[4/23/23 10:04AM] Received item from Xtc. Name: Tarn token. Id: 10835, amount: 5707830	
[4/23/23 10:04AM] Received item from Xtc. Name: Deathbringer bow. Id: 12843, amount: 1	
