[4/17/23 06:55AM] Received item from A Fatality. Name: Patience bow. Id: 23039, amount: 1	
[4/17/23 06:55AM] Received item from A Fatality. Name: Tormented Boots. Id: 21041, amount: 1	
[4/17/23 06:55AM] Received item from A Fatality. Name: Nightmare gloves. Id: 23031, amount: 1	
[4/17/23 06:55AM] Received item from A Fatality. Name: Aberrant Body. Id: 20593, amount: 1	
[4/17/23 06:55AM] Received item from A Fatality. Name: Tormented Cape. Id: 21039, amount: 1	
[4/17/23 06:55AM] Received item from A Fatality. Name: Tormented Helm. Id: 21036, amount: 1	
[4/17/23 06:55AM] Received item from A Fatality. Name: Aberrant Cape. Id: 4367, amount: 1	
[4/17/23 06:55AM] Received item from A Fatality. Name: Nagi Legs. Id: 21064, amount: 1	
[4/17/23 06:55AM] Received item from A Fatality. Name: Nagi Ring. Id: 21069, amount: 1	
[4/17/23 06:55AM] Received item from A Fatality. Name: Aberrant Amulet. Id: 19892, amount: 1	
[4/17/23 08:12AM] Gave item to Onlyfans. Name: Vote scroll. Id: 23020, amount: 2	
[4/17/23 08:12AM] Received item from Onlyfans. Name: Tarn token. Id: 10835, amount: 20000	
[4/17/23 08:16AM] Received item from Like My Peep. Name: Emerald Crossbow. Id: 8088, amount: 1	
[4/17/23 08:43AM] Gave item to Mondo. Name: Tarn token. Id: 10835, amount: 26674	
[4/17/23 08:43AM] Received item from Mondo. Name: Emerald Chaps. Id: 11003, amount: 1	
[4/17/23 09:00AM] Received item from Coke. Name: Emerald Coif. Id: 11001, amount: 1	
[4/18/23 01:31PM] Gave item to Rhiannon. Name: $1 Scroll. Id: 10946, amount: 5	
[4/18/23 01:31PM] Received item from Rhiannon. Name: Tarn token. Id: 10835, amount: 150000	
[4/18/23 01:32PM] Gave item to Rhiannon. Name: Vote scroll. Id: 23020, amount: 3	
[4/18/23 01:32PM] Received item from Rhiannon. Name: Tarn token. Id: 10835, amount: 90000	
[4/18/23 01:44PM] Gave item to Ao. Name: $1 Scroll. Id: 10946, amount: 2	
[4/18/23 01:44PM] Received item from Ao. Name: Tarn token. Id: 10835, amount: 60000	
[4/18/23 01:58PM] Gave item to Supernum. Name: Tarn token. Id: 10835, amount: 327122	
[4/18/23 01:58PM] Received item from Supernum. Name: Executive Bow. Id: 5012, amount: 1	
[4/18/23 01:59PM] Gave item to Aspas. Name: Emerald Crossbow. Id: 8088, amount: 1	
[4/18/23 02:57PM] Gave item to Onlyfans. Name: $1 Scroll. Id: 10946, amount: 5	
[4/18/23 02:57PM] Received item from Onlyfans. Name: Tarn token. Id: 10835, amount: 200409	
[4/18/23 02:59PM] Gave item to Kingrock. Name: Tarn token. Id: 10835, amount: 254369	
[4/18/23 02:59PM] Received item from Kingrock. Name: Executive Body. Id: 4685, amount: 1	
[4/18/23 02:59PM] Received item from Kingrock. Name: Executive Legs. Id: 4686, amount: 1	
[4/18/23 02:59PM] Gave item to Aspas. Name: Emerald Body. Id: 11002, amount: 1	
[4/18/23 02:59PM] Gave item to Aspas. Name: Emerald Chaps. Id: 11003, amount: 1	
[4/18/23 03:34PM] Gave item to Boterkoek. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/18/23 03:34PM] Gave item to Boterkoek. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/18/23 03:34PM] Gave item to Boterkoek. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/18/23 03:34PM] Gave item to Boterkoek. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/18/23 03:34PM] Received item from Boterkoek. Name: Tarn token. Id: 10835, amount: 273018	
[4/18/23 04:16PM] Received item from Onlyfans. Name: Charybde Helm. Id: 8828, amount: 1	
[4/18/23 04:17PM] Gave item to Onlyfans. Name: $1 Scroll. Id: 10946, amount: 1	
[4/18/23 05:40PM] Gave item to Moist. Name: $1 Scroll. Id: 10946, amount: 18	
[4/18/23 05:40PM] Received item from Moist. Name: Tarn token. Id: 10835, amount: 540000	
[4/18/23 05:41PM] Received item from Moist. Name: Sanctum Golem Pet. Id: 19481, amount: 1	
[4/18/23 05:45PM] Received item from A Fatality. Name: Godly Helm. Id: 14050, amount: 1	
[4/18/23 05:45PM] Received item from A Fatality. Name: Gold Enhancement. Id: 17391, amount: 1	
[4/18/23 05:45PM] Received item from A Fatality. Name: Adamant platebody (h2). Id: 19485, amount: 1	
[4/18/23 05:47PM] Gave item to A Fatality. Name: Godly Helm. Id: 14050, amount: 1	
[4/18/23 05:47PM] Gave item to A Fatality. Name: Sanctum Golem Pet. Id: 19481, amount: 1	
[4/18/23 05:48PM] Received item from A Fatality. Name: Godly Helm. Id: 14050, amount: 1	
[4/18/23 05:48PM] Received item from A Fatality. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/18/23 05:51PM] Gave item to A Fatality. Name: Tarn token. Id: 10835, amount: 500000	
[4/18/23 05:51PM] Received item from A Fatality. Name: Malvek Body. Id: 19159, amount: 1	
[4/18/23 05:52PM] Gave item to A Fatality. Name: Malvek Body. Id: 19159, amount: 1	
[4/18/23 05:52PM] Gave item to A Fatality. Name: Charybde Helm. Id: 8828, amount: 1	
[4/18/23 05:53PM] Received item from A Fatality. Name: Charybde Helm. Id: 8828, amount: 1	
[4/18/23 05:54PM] Gave item to A Fatality. Name: Godly Helm. Id: 14050, amount: 1	
[4/18/23 05:55PM] Received item from A Fatality. Name: Gold Enhancement. Id: 17391, amount: 1	
[4/19/23 12:53PM] Gave item to Tao. Name: Vote scroll. Id: 23020, amount: 8	
[4/19/23 12:53PM] Received item from Tao. Name: Tarn token. Id: 10835, amount: 280000	
[4/19/23 12:56PM] Gave item to Arab. Name: Tarn token. Id: 10835, amount: 1000000	
[4/19/23 12:56PM] Received item from Arab. Name: $1 Scroll. Id: 10946, amount: 20	
[4/19/23 12:58PM] Received item from Mad. Name: Imperial Staff. Id: 18629, amount: 1	
[4/19/23 01:15PM] Gave item to Veteran. Name: Lava bones. Id: 2023, amount: 2718	
[4/19/23 01:25PM] Gave item to Juust. Name: Vote scroll. Id: 23020, amount: 23	
[4/19/23 01:25PM] Received item from Juust. Name: Tarn token. Id: 10835, amount: 345000	
[4/19/23 01:33PM] Gave item to Pr. Name: Antique Bow. Id: 23144, amount: 1	
[4/19/23 01:38PM] Gave item to Pr. Name: Emerald Chaps. Id: 11003, amount: 1	
[4/19/23 01:38PM] Gave item to Pr. Name: Emerald Coif. Id: 11001, amount: 1	
[4/19/23 01:38PM] Received item from Pr. Name: $1 Scroll. Id: 10946, amount: 25	
[4/19/23 01:43PM] Gave item to Pr. Name: Imperial Staff. Id: 18629, amount: 1	
[4/19/23 01:43PM] Gave item to Pr. Name: Super restore (1). Id: 3030, amount: 1	
[4/19/23 01:54PM] Gave item to Coke. Name: Tarn token. Id: 10835, amount: 450000	
[4/19/23 01:54PM] Received item from Coke. Name: Solar Robe Bottom. Id: 15647, amount: 1	
[4/19/23 02:20PM] Gave item to Pr. Name: Titan Helm. Id: 8803, amount: 1	
[4/19/23 04:51PM] Gave item to Slayer. Name: Vote scroll. Id: 23020, amount: 6	
[4/19/23 04:51PM] Received item from Slayer. Name: Tarn token. Id: 10835, amount: 180000	
[4/19/23 05:02PM] Gave item to Zaryte. Name: Tarn token. Id: 10835, amount: 200200	
[4/19/23 05:02PM] Received item from Zaryte. Name: Solar Hood. Id: 15645, amount: 1	
[4/19/23 05:09PM] Gave item to Zaryte. Name: Tarn token. Id: 10835, amount: 176362	
[4/19/23 05:09PM] Received item from Zaryte. Name: Emerald Body. Id: 11002, amount: 1	
[4/19/23 05:09PM] Received item from Zaryte. Name: Solar Hood. Id: 15645, amount: 1	
[4/19/23 05:12PM] Gave item to Ao. Name: Solar Hood. Id: 15645, amount: 1	
[4/19/23 05:12PM] Received item from Ao. Name: Transfer Crystal. Id: 8788, amount: 1	
