[4/18/23 06:33PM] Received item from Emordnys. Name: Forsaken Sword. Id: 14915, amount: 1	
[4/18/23 06:33PM] Received item from Emordnys. Name: Zinq boots. Id: 23054, amount: 1	
[4/18/23 06:33PM] Received item from Emordnys. Name: Zinq body. Id: 23051, amount: 1	
[4/18/23 06:33PM] Received item from Emordnys. Name: Aberrant Boots. Id: 8334, amount: 1	
[4/18/23 06:33PM] Received item from Emordnys. Name: Zinq helm. Id: 23050, amount: 1	
[4/18/23 06:33PM] Received item from Emordnys. Name: Zinq legs. Id: 23052, amount: 1	
[4/18/23 06:33PM] Received item from Emordnys. Name: Imperial boots. Id: 20089, amount: 1	
[4/18/23 06:33PM] Received item from Emordnys. Name: Imperial Minigun. Id: 18636, amount: 1	
[4/18/23 06:33PM] Received item from Emordnys. Name: Imperial amulet. Id: 20092, amount: 1	
[4/18/23 06:33PM] Received item from Emordnys. Name: Imperial ring. Id: 20093, amount: 1	
[4/18/23 06:46PM] Received item from Onlyfans. Name: Collector necklace. Id: 19886, amount: 1	
