[4/17/23 12:22AM] Received item from Choppa. Name: Vote scroll. Id: 23020, amount: 2	
[4/17/23 12:22AM] Received item from Choppa. Name: Coin. Id: 995, amount: 1000000	
[4/17/23 12:22AM] Received item from Choppa. Name: Fury shark. Id: 17818, amount: 100	
[4/17/23 12:22AM] Received item from Choppa. Name: Super restore (4). Id: 3025, amount: 100	
[4/17/23 12:26AM] Received item from Chupa. Name: Super restore (4). Id: 3025, amount: 100	
[4/17/23 12:26AM] Received item from Chupa. Name: Fury shark. Id: 17818, amount: 100	
[4/17/23 12:26AM] Received item from Chupa. Name: Coin. Id: 995, amount: 1000000	
[4/17/23 12:26AM] Received item from Chupa. Name: Vote scroll. Id: 23020, amount: 1	
[4/17/23 12:26AM] Gave item to Cheung. Name: Super restore (4). Id: 3025, amount: 300	
[4/17/23 12:26AM] Gave item to Cheung. Name: Fury shark. Id: 17818, amount: 300	
[4/17/23 12:26AM] Gave item to Cheung. Name: Coin. Id: 995, amount: 2999999	
[4/17/23 12:26AM] Gave item to Cheung. Name: Vote scroll. Id: 23020, amount: 4	
[4/17/23 11:29AM] Received item from Fpk Merk. Name: Progressive Box [T2]. Id: 10029, amount: 2	
[4/17/23 11:32AM] Received item from Chupa. Name: Champion Body. Id: 16023, amount: 1	
[4/17/23 11:32AM] Received item from Chupa. Name: Gold Cape. Id: 11762, amount: 1	
[4/17/23 11:39AM] Received item from Youtuber. Name: Unknown Body. Id: 21043, amount: 1	
[4/17/23 11:39AM] Received item from Youtuber. Name: Doom Aura. Id: 12614, amount: 1	
[4/17/23 11:39AM] Received item from Youtuber. Name: Coin. Id: 995, amount: 1000000	
[4/17/23 11:39AM] Received item from Youtuber. Name: Fury shark. Id: 17818, amount: 100	
[4/17/23 11:39AM] Received item from Youtuber. Name: Super restore (4). Id: 3025, amount: 100	
[4/17/23 11:41AM] Gave item to Cheung. Name: Coin. Id: 995, amount: 1000000	
[4/17/23 11:41AM] Gave item to Cheung. Name: Champion Body. Id: 16023, amount: 1	
[4/17/23 11:41AM] Gave item to Cheung. Name: Gold Cape. Id: 11762, amount: 1	
[4/17/23 11:41AM] Gave item to Cheung. Name: Unknown Body. Id: 21043, amount: 1	
[4/17/23 11:41AM] Gave item to Cheung. Name: Titan Body. Id: 8804, amount: 1	
[4/17/23 11:41AM] Gave item to Cheung. Name: Lust Visor. Id: 8806, amount: 1	
[4/17/23 11:41AM] Gave item to Cheung. Name: Doom Aura. Id: 12614, amount: 1	
[4/17/23 11:41AM] Gave item to Cheung. Name: Super restore (4). Id: 3025, amount: 100	
[4/17/23 11:41AM] Gave item to Cheung. Name: Fury shark. Id: 17818, amount: 100	
[4/17/23 12:17PM] Gave item to Cheung. Name: PvM Casket. Id: 2736, amount: 10	
