[4/16/23 08:08AM] Gave item to Vet Ratskii. Name: Coin. Id: 995, amount: 2306302	
[4/16/23 08:08AM] Gave item to Vet Ratskii. Name: Tarn token. Id: 10835, amount: 41537	
[4/16/23 08:08AM] Gave item to Vet Ratskii. Name: Super restore (4). Id: 3025, amount: 92	
[4/16/23 08:08AM] Gave item to Vet Ratskii. Name: Imperial Staff. Id: 18629, amount: 1	
[4/16/23 08:08AM] Gave item to Vet Ratskii. Name: Mystic book. Id: 23027, amount: 1	
[4/16/23 08:08AM] Gave item to Vet Ratskii. Name: Infinite overload potion (T1). Id: 23124, amount: 1	
[4/16/23 08:08AM] Gave item to Vet Ratskii. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/16/23 08:08AM] Gave item to Vet Ratskii. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/16/23 08:08AM] Gave item to Vet Ratskii. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/16/23 08:08AM] Gave item to Vet Ratskii. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/16/23 08:08AM] Gave item to Vet Ratskii. Name: Double DR Scroll 1 Hour. Id: 15355, amount: 1	
[4/16/23 08:08AM] Gave item to Vet Ratskii. Name: Lava bones. Id: 2023, amount: 751	
[4/16/23 08:08AM] Gave item to Vet Ratskii. Name: Slayer ticket. Id: 5023, amount: 306	
[4/16/23 08:08AM] Gave item to Vet Ratskii. Name: Double DR Scroll 1 Hour. Id: 15355, amount: 1	
[4/16/23 08:08AM] Gave item to Vet Ratskii. Name: Inferno Blade. Id: 20542, amount: 1	
[4/16/23 08:08AM] Gave item to Vet Ratskii. Name: Sacred Helm. Id: 23134, amount: 1	
[4/16/23 08:08AM] Gave item to Vet Ratskii. Name: Collector necklace. Id: 19886, amount: 1	
[4/16/23 08:08AM] Gave item to Vet Ratskii. Name: Revenant Wings. Id: 18005, amount: 1	
[4/16/23 08:08AM] Gave item to Vet Ratskii. Name: Sacred Boots. Id: 23138, amount: 1	
[4/16/23 08:08AM] Gave item to Vet Ratskii. Name: Maze Legs. Id: 5428, amount: 1	
[4/16/23 08:08AM] Gave item to Vet Ratskii. Name: Aberrant Body. Id: 20593, amount: 1	
[4/16/23 08:08AM] Gave item to Vet Ratskii. Name: Nagi Ring. Id: 21069, amount: 1	
[4/16/23 08:08AM] Gave item to Vet Ratskii. Name: Aberrant Gloves. Id: 11140, amount: 1	
[4/16/23 08:08AM] Gave item to Vet Ratskii. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/16/23 08:08AM] Gave item to Vet Ratskii. Name: Imperial Minigun. Id: 18636, amount: 1	
[4/16/23 08:11AM] Received item from Vet Ratskii. Name: Tarn token. Id: 10835, amount: 50	
