[4/23/23 08:22AM] Gave item to Xtc. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/23/23 08:22AM] Received item from Xtc. Name: Tarn token. Id: 10835, amount: 1500000	
[4/27/23 10:45AM] Received item from Bulba. Name: Evil Body. Id: 14327, amount: 1	
[4/27/23 10:53AM] Gave item to Xtc. Name: Evil Body. Id: 14327, amount: 1	
[4/27/23 10:53AM] Received item from Xtc. Name: Tarn token. Id: 10835, amount: 17847419	
[4/27/23 10:53AM] Received item from Xtc. Name: Solar Staff. Id: 22135, amount: 1	
[4/27/23 11:13AM] Gave item to Dwightshrute. Name: Tarn token. Id: 10835, amount: 3000000	
[4/27/23 11:13AM] Received item from Dwightshrute. Name: Aura (T6). Id: 23049, amount: 1	
[4/27/23 11:57AM] Received item from Wr3ckedyou. Name: Infamous Box. Id: 20489, amount: 1	
[4/27/23 12:00PM] Gave item to Kingrock. Name: Infamous Box. Id: 20489, amount: 1	
[4/27/23 12:00PM] Received item from Kingrock. Name: Tarn token. Id: 10835, amount: 15000000	
