[4/16/23 08:27PM] Received item from Onlyfans. Name: Antique Staff. Id: 23145, amount: 1	
[4/16/23 08:27PM] Received item from Onlyfans. Name: Antique Sword. Id: 23146, amount: 1	
[4/16/23 10:00PM] Gave item to Ruthie. Name: Vote scroll. Id: 23020, amount: 5	
[4/16/23 11:14PM] Received item from Ruthie. Name: Lust Staff. Id: 8809, amount: 1	
[4/16/23 11:19PM] Gave item to Ruthie. Name: Lust Staff. Id: 8809, amount: 1	
[4/17/23 04:28PM] Gave item to Onlyfans. Name: Vote scroll. Id: 23020, amount: 10	
[4/17/23 04:28PM] Received item from Onlyfans. Name: Tarn token. Id: 10835, amount: 130230	
[4/17/23 04:28PM] Received item from Onlyfans. Name: Emerald Crossbow. Id: 8088, amount: 1	
[4/17/23 04:29PM] Received item from Onlyfans. Name: Emerald Chaps. Id: 11003, amount: 1	
[4/17/23 04:29PM] Received item from Onlyfans. Name: Emerald Body. Id: 11002, amount: 1	
[4/17/23 04:29PM] Received item from Onlyfans. Name: Emerald Coif. Id: 11001, amount: 1	
