[4/16/23 05:39AM] Gave item to Mug. Name: Vote scroll. Id: 23020, amount: 1	
[4/16/23 05:39AM] Received item from Mug. Name: Collector necklace. Id: 19886, amount: 1	
[4/16/23 06:01AM] Gave item to Rks. Name: Vote scroll. Id: 23020, amount: 5	
[4/16/23 06:01AM] Received item from Rks. Name: Tarn token. Id: 10835, amount: 115000	
[4/16/23 06:44AM] Gave item to You. Name: Tarn token. Id: 10835, amount: 80000	
[4/16/23 06:44AM] Received item from You. Name: Emerald Coif. Id: 11001, amount: 1	
[4/17/23 10:53AM] Received item from Fpk Merk. Name: Progressive Box [T2]. Id: 10029, amount: 2	
[4/17/23 11:10AM] Received item from Turbz. Name: Lust Visor. Id: 8806, amount: 1	
[4/17/23 11:10AM] Received item from Turbz. Name: Emerald Coif. Id: 11001, amount: 1	
[4/17/23 11:42AM] Gave item to Suh. Name: Vote scroll. Id: 23020, amount: 2	
[4/17/23 11:42AM] Received item from Suh. Name: Emerald Crossbow. Id: 8088, amount: 1	
[4/20/23 11:51AM] Received item from Turbz. Name: Coin. Id: 995, amount: 3188313	
[4/20/23 11:51AM] Received item from Turbz. Name: $1 Scroll. Id: 10946, amount: 1	
[4/20/23 12:23PM] Gave item to Turbz. Name: $1 Scroll. Id: 10946, amount: 7	
[4/20/23 12:23PM] Gave item to Turbz. Name: Vote scroll. Id: 23020, amount: 3	
[4/20/23 12:23PM] Received item from Turbz. Name: Coin. Id: 995, amount: 2	
[4/20/23 12:24PM] Gave item to Turbz. Name: Tarn token. Id: 10835, amount: 3	
[4/20/23 12:24PM] Received item from Turbz. Name: Vote scroll. Id: 23020, amount: 6	
[4/20/23 12:24PM] Received item from Turbz. Name: $1 Scroll. Id: 10946, amount: 14	
[4/20/23 12:24PM] Received item from Turbz. Name: Coin. Id: 995, amount: 4450452	
[4/20/23 01:23PM] Gave item to Turbz. Name: Tarn token. Id: 10835, amount: 1	
[4/20/23 01:23PM] Received item from Turbz. Name: $1 Scroll. Id: 10946, amount: 1	
[4/20/23 01:36PM] Gave item to Turbz. Name: Tarn token. Id: 10835, amount: 4	
[4/20/23 01:36PM] Received item from Turbz. Name: $1 Scroll. Id: 10946, amount: 10	
[4/20/23 01:36PM] Received item from Turbz. Name: Vote scroll. Id: 23020, amount: 6	
[4/21/23 10:36AM] Gave item to Turbz. Name: Tarn token. Id: 10835, amount: 3	
[4/21/23 10:36AM] Received item from Turbz. Name: Coin. Id: 995, amount: 12779037	
[4/21/23 10:36AM] Received item from Turbz. Name: $1 Scroll. Id: 10946, amount: 1	
[4/21/23 10:53AM] Gave item to Onlyfans. Name: Tarn token. Id: 10835, amount: 600000	
[4/21/23 10:53AM] Received item from Onlyfans. Name: Evil Gloves. Id: 14323, amount: 1	
[4/21/23 11:05AM] Gave item to Turbz. Name: Tarn token. Id: 10835, amount: 7782	
[4/21/23 11:11AM] Received item from Princespeach. Name: $25 Bond. Id: 23058, amount: 1	
[4/21/23 11:36AM] Gave item to Turbz. Name: Slayer ticket. Id: 5023, amount: 2	
[4/21/23 11:36AM] Gave item to Turbz. Name: Lava bones. Id: 2023, amount: 1	
[4/21/23 11:36AM] Received item from Turbz. Name: $1 Scroll. Id: 10946, amount: 4	
[4/21/23 12:10PM] Gave item to Turbz. Name: Tarn token. Id: 10835, amount: 2	
[4/21/23 12:10PM] Received item from Turbz. Name: Vote scroll. Id: 23020, amount: 6	
[4/21/23 12:10PM] Received item from Turbz. Name: $1 Scroll. Id: 10946, amount: 10	
[4/21/23 12:15PM] Gave item to Turbz. Name: Tarn token. Id: 10835, amount: 2	
[4/21/23 12:15PM] Received item from Turbz. Name: $1 Scroll. Id: 10946, amount: 10	
[4/21/23 12:15PM] Received item from Turbz. Name: Vote scroll. Id: 23020, amount: 6	
[4/22/23 01:05PM] Gave item to Nixon. Name: Tarn token. Id: 10835, amount: 2	
[4/22/23 01:05PM] Received item from Nixon. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/22/23 01:05PM] Received item from Nixon. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/22/23 01:05PM] Received item from Nixon. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/22/23 01:05PM] Received item from Nixon. Name: Vote scroll. Id: 23020, amount: 2	
[4/22/23 01:05PM] Received item from Nixon. Name: DMG Potion (Mortal). Id: 3090, amount: 1	
[4/22/23 01:05PM] Received item from Nixon. Name: EXP Potion (Divine). Id: 1033, amount: 1	
[4/22/23 01:05PM] Received item from Nixon. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/22/23 01:05PM] Received item from Nixon. Name: Tarn token. Id: 10835, amount: 7358	
[4/22/23 01:35PM] Received item from Turbz. Name: $1 Scroll. Id: 10946, amount: 5	
[4/22/23 01:35PM] Received item from Turbz. Name: Vote scroll. Id: 23020, amount: 3	
[4/22/23 02:36PM] Gave item to Turbz. Name: Tarn token. Id: 10835, amount: 2	
[4/22/23 02:36PM] Received item from Turbz. Name: $1 Scroll. Id: 10946, amount: 3	
