[4/22/23 09:38AM] Received item from Army. Name: AFK ticket. Id: 5020, amount: 161720	
[4/22/23 09:38AM] Received item from Army. Name: Sanctum Golem Pet. Id: 19481, amount: 1	
[4/22/23 06:06PM] Gave item to Army. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/22/23 06:06PM] Gave item to Army. Name: EXP Potion (Divine). Id: 1033, amount: 1	
[4/22/23 06:06PM] Gave item to Army. Name: DMG Potion (Mortal). Id: 3090, amount: 1	
[4/22/23 06:06PM] Gave item to Army. Name: Imperial Box. Id: 14487, amount: 1	
[4/22/23 06:06PM] Gave item to Army. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/22/23 06:06PM] Gave item to Army. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/22/23 06:06PM] Gave item to Army. Name: Imperial Box. Id: 14487, amount: 1	
[4/22/23 06:06PM] Gave item to Army. Name: Progressive Box [T1]. Id: 10025, amount: 1	
[4/22/23 06:06PM] Gave item to Army. Name: Coin. Id: 995, amount: 1000000	
[4/22/23 06:06PM] Gave item to Army. Name: PvM Casket. Id: 2736, amount: 5	
[4/22/23 06:06PM] Gave item to Army. Name: Vote scroll. Id: 23020, amount: 2	
[4/22/23 06:06PM] Gave item to Army. Name: Red h'ween mask. Id: 1057, amount: 1	
