[4/16/23 08:43PM] Received item from Okmante. Name: Sinful Staff. Id: 14377, amount: 1	
[4/16/23 08:43PM] Received item from Okmante. Name: Mystic body. Id: 23022, amount: 1	
[4/16/23 08:43PM] Received item from Okmante. Name: Mystic boots. Id: 23025, amount: 1	
[4/16/23 08:43PM] Received item from Okmante. Name: Mystic helm. Id: 23021, amount: 1	
[4/16/23 08:43PM] Received item from Okmante. Name: Revenant Wings. Id: 18005, amount: 1	
[4/18/23 11:15PM] Gave item to Slayer. Name: Vote scroll. Id: 23020, amount: 2	
[4/18/23 11:15PM] Received item from Slayer. Name: Tarn token. Id: 10835, amount: 40000	
[4/18/23 11:21PM] Received item from Okmante. Name: Antique Bow. Id: 23144, amount: 1	
[4/19/23 08:04AM] Received item from Okmante. Name: $1 Scroll. Id: 10946, amount: 26	
[4/20/23 09:43AM] Gave item to Okmante. Name: Tarn token. Id: 10835, amount: 1323857	
[4/20/23 01:37PM] Gave item to Okmante. Name: Infinite healing potion (T3). Id: 23120, amount: 1	
[4/20/23 01:37PM] Gave item to Okmante. Name: Transfer Crystal. Id: 8788, amount: 1	
