[4/15/23 09:03PM] Gave item to Pimpin. Name: Inferno Boots. Id: 13305, amount: 1	
[4/15/23 09:03PM] Gave item to Pimpin. Name: Imperial Minigun. Id: 18636, amount: 1	
[4/15/23 09:35PM] Gave item to Pimpin. Name: Antique Bow. Id: 23144, amount: 1	
[4/16/23 07:15AM] Gave item to Pimpin. Name: Forsaken Boots. Id: 14914, amount: 1	
[4/16/23 07:35AM] Gave item to Remorse. Name: Antique Sword. Id: 23146, amount: 1	
[4/16/23 07:35AM] Gave item to Remorse. Name: Blurite Boots. Id: 19989, amount: 1	
[4/16/23 07:53AM] Gave item to Remorse. Name: Lava bones. Id: 2023, amount: 110	
[4/16/23 07:56AM] Gave item to Remorse. Name: Infinite healing potion (T3). Id: 23120, amount: 1	
[4/16/23 08:26AM] Gave item to Alex. Name: Gracious Box. Id: 15002, amount: 1	
[4/23/23 04:05PM] Gave item to Admiral. Name: Collector necklace. Id: 19886, amount: 1	
[4/23/23 04:05PM] Gave item to Admiral. Name: Rogue Body. Id: 17596, amount: 1	
[4/23/23 04:05PM] Gave item to Admiral. Name: Zinq shield. Id: 23056, amount: 1	
[4/23/23 04:05PM] Gave item to Admiral. Name: Lava bones. Id: 2023, amount: 2073	
[4/23/23 04:05PM] Gave item to Admiral. Name: Infinite healing potion (T3). Id: 23120, amount: 1	
[4/23/23 04:05PM] Gave item to Admiral. Name: Rogue Helm. Id: 22126, amount: 1	
[4/23/23 04:05PM] Gave item to Admiral. Name: Rogue Gloves. Id: 22123, amount: 1	
[4/23/23 04:05PM] Gave item to Admiral. Name: Rogue Legs. Id: 22125, amount: 1	
[4/23/23 04:05PM] Gave item to Admiral. Name: Doom Aura. Id: 12614, amount: 1	
[4/23/23 04:05PM] Gave item to Admiral. Name: Tormented Cape. Id: 21039, amount: 1	
[4/23/23 04:05PM] Gave item to Admiral. Name: Rogue Aura. Id: 12610, amount: 1	
[4/23/23 04:05PM] Gave item to Admiral. Name: Nagi Ring. Id: 21069, amount: 1	
[4/23/23 04:05PM] Gave item to Admiral. Name: Unknown Boots. Id: 21047, amount: 1	
[4/23/23 04:05PM] Gave item to Admiral. Name: Inferno Helm. Id: 13300, amount: 1	
[4/23/23 04:05PM] Gave item to Admiral. Name: Inferno Gloves. Id: 13302, amount: 1	
[4/23/23 04:05PM] Gave item to Admiral. Name: Coin. Id: 995, amount: 2278147	
[4/23/23 04:05PM] Gave item to Admiral. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/23/23 04:05PM] Gave item to Admiral. Name: Tarn token. Id: 10835, amount: 77918	
[4/23/23 04:09PM] Gave item to Admiral. Name: Collector necklace. Id: 19886, amount: 1	
[4/23/23 04:09PM] Gave item to Admiral. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/23/23 04:09PM] Gave item to Admiral. Name: Upgrade Token. Id: 20503, amount: 4	
[4/23/23 04:09PM] Gave item to Admiral. Name: Sacred Boots. Id: 23138, amount: 1	
[4/23/23 04:09PM] Gave item to Admiral. Name: Imperial Minigun. Id: 18636, amount: 1	
[4/23/23 04:09PM] Gave item to Admiral. Name: Imperial Minigun. Id: 18636, amount: 1	
[4/23/23 04:09PM] Gave item to Admiral. Name: $1 Scroll. Id: 10946, amount: 17	
[4/23/23 04:09PM] Gave item to Admiral. Name: Sanctum Golem Pet. Id: 19481, amount: 1	
[4/23/23 04:09PM] Gave item to Admiral. Name: Sanctum Golem Pet. Id: 19481, amount: 1	
[4/23/23 04:09PM] Gave item to Admiral. Name: Infinite healing potion (T1). Id: 23118, amount: 1	
[4/23/23 04:09PM] Gave item to Admiral. Name: Slayer ticket. Id: 5023, amount: 3797	
[4/23/23 04:09PM] Gave item to Admiral. Name: Lava bones. Id: 2023, amount: 3241	
[4/23/23 04:09PM] Gave item to Admiral. Name: Vote scroll. Id: 23020, amount: 7	
