[4/19/23 07:40PM] Received item from Nadez. Name: Owner's cape. Id: 7995, amount: 1	
[4/20/23 12:02AM] Gave item to Muradin. Name: Tarn token. Id: 10835, amount: 100000	
[4/20/23 12:02AM] Received item from Muradin. Name: $1 Scroll. Id: 10946, amount: 5	
[4/20/23 09:02AM] Gave item to Truth. Name: Sanctum Golem Pet. Id: 19481, amount: 1	
[4/20/23 09:02AM] Gave item to Truth. Name: Aberrant Ring. Id: 8335, amount: 1	
[4/20/23 09:02AM] Gave item to Truth. Name: Zinq boots. Id: 23054, amount: 1	
[4/20/23 09:02AM] Gave item to Truth. Name: Lili Staff. Id: 22143, amount: 1	
[4/20/23 09:02AM] Gave item to Truth. Name: Zinq body. Id: 23051, amount: 1	
[4/20/23 09:02AM] Gave item to Truth. Name: Virtuos Relic. Id: 14307, amount: 1	
[4/20/23 09:02AM] Gave item to Truth. Name: Sinful Gloves. Id: 12864, amount: 1	
[4/20/23 09:02AM] Gave item to Truth. Name: Owner's cape. Id: 7995, amount: 1	
[4/20/23 09:02AM] Gave item to Truth. Name: Executive Legs. Id: 4686, amount: 1	
[4/20/23 09:02AM] Gave item to Truth. Name: Executive Helm. Id: 4684, amount: 1	
[4/20/23 09:09AM] Gave item to Truth. Name: Lava bones. Id: 2023, amount: 8229	
[4/20/23 04:57PM] Received item from Truth. Name: Owner's cape. Id: 7995, amount: 1	
[4/20/23 04:57PM] Received item from Truth. Name: Executive Helm. Id: 4684, amount: 1	
[4/20/23 04:57PM] Received item from Truth. Name: Aberrant Ring. Id: 8335, amount: 1	
[4/20/23 04:57PM] Received item from Truth. Name: Virtuos Relic. Id: 14307, amount: 1	
[4/20/23 04:57PM] Received item from Truth. Name: Zinq body. Id: 23051, amount: 1	
[4/20/23 04:57PM] Received item from Truth. Name: Executive Legs. Id: 4686, amount: 1	
[4/20/23 04:57PM] Received item from Truth. Name: Lili Staff. Id: 22143, amount: 1	
[4/20/23 04:57PM] Received item from Truth. Name: Sinful Gloves. Id: 12864, amount: 1	
[4/20/23 04:57PM] Received item from Truth. Name: Zinq boots. Id: 23054, amount: 1	
[4/22/23 03:59AM] Gave item to Truth. Name: Solar Staff. Id: 22135, amount: 1	
[4/22/23 03:59AM] Gave item to Truth. Name: Executive Helm. Id: 4684, amount: 1	
[4/22/23 03:59AM] Gave item to Truth. Name: Collector necklace. Id: 19886, amount: 1	
[4/22/23 03:59AM] Gave item to Truth. Name: Blood Boots. Id: 17283, amount: 1	
[4/22/23 03:59AM] Gave item to Truth. Name: Blood Gloves. Id: 16194, amount: 1	
[4/22/23 03:59AM] Gave item to Truth. Name: Onyx Legs. Id: 20095, amount: 1	
[4/22/23 03:59AM] Gave item to Truth. Name: Blood Body. Id: 8814, amount: 1	
[4/22/23 04:00AM] Gave item to Truth. Name: PvM Casket. Id: 2736, amount: 10	
[4/22/23 05:08PM] Gave item to Author. Name: Solar Robe Top. Id: 15646, amount: 1	
[4/22/23 05:08PM] Received item from Author. Name: Tarn token. Id: 10835, amount: 16172049	
[4/22/23 08:37PM] Gave item to Nobledefeat. Name: Tarn token. Id: 10835, amount: 10000000	
[4/22/23 08:37PM] Received item from Nobledefeat. Name: Gladiator Helm. Id: 15005, amount: 1	
[4/22/23 08:37PM] Received item from Nobledefeat. Name: Gladiator Shield. Id: 15008, amount: 1	
[4/22/23 08:37PM] Received item from Nobledefeat. Name: Gladiator Cape. Id: 15100, amount: 1	
[4/22/23 08:37PM] Received item from Nobledefeat. Name: Gladiator Gloves. Id: 15200, amount: 1	
[4/22/23 08:37PM] Received item from Nobledefeat. Name: Gladiator Glaive. Id: 20552, amount: 1	
