[4/17/23 11:16PM] Received item from Ruthie. Name: Emerald Coif. Id: 11001, amount: 1	
[4/17/23 11:16PM] Received item from Ruthie. Name: Sinful Staff. Id: 14377, amount: 1	
[4/17/23 11:16PM] Received item from Ruthie. Name: Mystic helm. Id: 23021, amount: 1	
[4/17/23 11:17PM] Received item from Ruthie. Name: Lava bones. Id: 2023, amount: 547	
[4/18/23 02:58AM] Received item from Immortal. Name: Maze Maul. Id: 17710, amount: 1	
[4/18/23 02:58AM] Received item from Immortal. Name: Tormented Shield. Id: 21049, amount: 1	
[4/18/23 02:58AM] Received item from Immortal. Name: Lust Poncho. Id: 8807, amount: 1	
[4/18/23 02:58AM] Received item from Immortal. Name: Sacred Legs. Id: 23136, amount: 1	
[4/18/23 04:47AM] Gave item to Ao. Name: $1 Scroll. Id: 10946, amount: 3	
[4/18/23 04:47AM] Received item from Ao. Name: Tarn token. Id: 10835, amount: 90000	
[4/18/23 04:47AM] Received item from Ao. Name: Emerald Crossbow. Id: 8088, amount: 1	
[4/18/23 05:56AM] Received item from Onlyfans. Name: Emerald Crossbow. Id: 8088, amount: 1	
[4/19/23 01:37AM] Received item from Redx12. Name: Antique Bow. Id: 23144, amount: 1	
[4/21/23 05:25AM] Received item from Nadez. Name: Blood Vitur. Id: 8136, amount: 1	
[4/21/23 05:30AM] Received item from Voki. Name: Demonlord Gloves. Id: 14182, amount: 1	
[4/24/23 01:48AM] Received item from A Fatality. Name: Tyrant Helm. Id: 14190, amount: 1	
[4/24/23 01:48AM] Received item from A Fatality. Name: Varth Legs. Id: 22147, amount: 1	
[4/24/23 01:48AM] Received item from A Fatality. Name: Varth Boots. Id: 22149, amount: 1	
[4/24/23 01:48AM] Received item from A Fatality. Name: Malvek's statuette. Id: 15587, amount: 1	
[4/24/23 01:48AM] Received item from A Fatality. Name: Malvek Pet. Id: 19485, amount: 1	
[4/24/23 01:48AM] Received item from A Fatality. Name: Infinite overload potion (T1). Id: 23124, amount: 1	
[4/24/23 01:59AM] Gave item to A Fatality. Name: Tarn token. Id: 10835, amount: 184722	
[4/24/23 01:59AM] Received item from A Fatality. Name: Lucifer's wings. Id: 22105, amount: 1	
[4/24/23 02:00AM] Gave item to A Fatality. Name: Tarn token. Id: 10835, amount: 120000	
[4/25/23 12:03PM] Received item from Paye. Name: DMG Potion (Mortal). Id: 3090, amount: 1	
[4/25/23 12:03PM] Received item from Paye. Name: EXP Potion (Divine). Id: 1033, amount: 1	
[4/25/23 12:03PM] Received item from Paye. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/25/23 12:03PM] Received item from Paye. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/25/23 12:03PM] Received item from Paye. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/25/23 12:03PM] Received item from Paye. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/25/23 12:03PM] Received item from Paye. Name: Vote scroll. Id: 23020, amount: 2	
[4/25/23 12:03PM] Received item from Paye. Name: Coin. Id: 995, amount: 7029190	
[4/25/23 12:03PM] Received item from Paye. Name: Tarn token. Id: 10835, amount: 586	
