[4/15/23 07:14AM] Received item from Suh. Name: Zinq legs. Id: 23052, amount: 1	
[4/15/23 08:14AM] Received item from Walkchaos. Name: Progressive Box [T2]. Id: 10029, amount: 1	
[4/15/23 08:23AM] Received item from Damon. Name: Unknown Mace. Id: 9940, amount: 1	
[4/15/23 08:26AM] Received item from Walkchaos. Name: Progressive Box [T2]. Id: 10029, amount: 1	
[4/15/23 09:07AM] Gave item to Ruthie. Name: Coin. Id: 995, amount: 12000000	
[4/15/23 09:07AM] Received item from Ruthie. Name: Vote scroll. Id: 23020, amount: 1	
[4/15/23 09:15AM] Gave item to Toxic. Name: Lust Visor. Id: 8806, amount: 1	
[4/15/23 09:15AM] Received item from Toxic. Name: Lust Visor. Id: 8806, amount: 1	
[4/15/23 10:12AM] Received item from Niels. Name: Inferno Helm. Id: 13300, amount: 1	
[4/16/23 09:28AM] Gave item to Dup. Name: Tarn token. Id: 10835, amount: 156066	
[4/16/23 09:28AM] Received item from Dup. Name: Emerald Crossbow. Id: 8088, amount: 1	
[4/16/23 10:16AM] Received item from Like My Peep. Name: Rogue Gloves. Id: 22123, amount: 1	
[4/16/23 11:30AM] Gave item to Ruthie. Name: Rogue Aura. Id: 12610, amount: 1	
[4/16/23 11:30AM] Gave item to Ruthie. Name: Rogue Sword. Id: 22127, amount: 1	
[4/16/23 11:30AM] Received item from Ruthie. Name: Tarn token. Id: 10835, amount: 400585	
[4/16/23 12:03PM] Gave item to Like My Peep. Name: Tarn token. Id: 10835, amount: 200000	
[4/16/23 12:03PM] Received item from Like My Peep. Name: Solar Staff. Id: 22135, amount: 1	
[4/16/23 12:56PM] Gave item to Asoich. Name: Rogue Sword. Id: 22127, amount: 1	
[4/16/23 12:56PM] Received item from Asoich. Name: Tarn token. Id: 10835, amount: 138280	
[4/16/23 12:56PM] Received item from Asoich. Name: Vote scroll. Id: 23020, amount: 6	
[4/16/23 01:10PM] Gave item to Like My Peep. Name: Tarn token. Id: 10835, amount: 300000	
[4/16/23 01:10PM] Received item from Like My Peep. Name: Blood Vitur. Id: 8136, amount: 1	
[4/16/23 01:54PM] Gave item to Ronnie V2. Name: Solar Staff. Id: 22135, amount: 1	
[4/16/23 01:54PM] Received item from Ronnie V2. Name: Tarn token. Id: 10835, amount: 400000	
[4/16/23 02:05PM] Received item from Like My Peep. Name: Deviant Legs. Id: 21022, amount: 1	
[4/16/23 02:23PM] Gave item to Dup. Name: Tarn token. Id: 10835, amount: 601200	
[4/16/23 02:23PM] Received item from Dup. Name: Lili Gloves. Id: 22139, amount: 1	
[4/16/23 02:55PM] Gave item to Onlyfans. Name: Tarn token. Id: 10835, amount: 200000	
[4/16/23 02:55PM] Received item from Onlyfans. Name: Aura (T6). Id: 23049, amount: 1	
[4/16/23 03:46PM] Gave item to Like My Peep. Name: Tarn token. Id: 10835, amount: 235000	
[4/16/23 03:46PM] Received item from Like My Peep. Name: Executive Bow. Id: 5012, amount: 1	
[4/17/23 12:21PM] Gave item to Heropt. Name: Demonlord Helm. Id: 14184, amount: 1	
[4/17/23 12:21PM] Gave item to Heropt. Name: Tarn token. Id: 10835, amount: 3687451	
[4/17/23 12:21PM] Gave item to Heropt. Name: Virtuos Wand. Id: 14305, amount: 1	
[4/17/23 12:21PM] Received item from Heropt. Name: Saiyan God Hair. Id: 22132, amount: 1	
[4/17/23 08:23PM] Gave item to Jroc. Name: Trinity prayer scroll. Id: 23166, amount: 1	
[4/17/23 08:23PM] Received item from Jroc. Name: Tarn token. Id: 10835, amount: 2000000	
[4/17/23 09:01PM] Gave item to Supernum. Name: Executive Gloves. Id: 8273, amount: 1	
[4/17/23 09:01PM] Received item from Supernum. Name: Tarn token. Id: 10835, amount: 200760	
