[4/16/23 05:12PM] Received item from Alex. Name: Vote scroll. Id: 23020, amount: 2	
[4/16/23 05:12PM] Received item from Alex. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/16/23 05:12PM] Received item from Alex. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/16/23 05:12PM] Received item from Alex. Name: PvM Casket. Id: 2736, amount: 5	
[4/16/23 05:12PM] Received item from Alex. Name: Imperial Box. Id: 14487, amount: 1	
[4/16/23 05:12PM] Received item from Alex. Name: Imperial Box. Id: 14487, amount: 1	
[4/16/23 05:12PM] Received item from Alex. Name: Progressive Box [T1]. Id: 10025, amount: 1	
[4/16/23 05:12PM] Received item from Alex. Name: Coin. Id: 995, amount: 1000000	
[4/16/23 05:12PM] Received item from Alex. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/16/23 05:12PM] Received item from Alex. Name: EXP Potion (Divine). Id: 1033, amount: 1	
[4/16/23 05:12PM] Received item from Alex. Name: DMG Potion (Mortal). Id: 3090, amount: 1	
[4/16/23 07:03PM] Received item from Ruthie. Name: Godly Cape. Id: 1485, amount: 1	
[4/17/23 07:24AM] Received item from Like My Peep. Name: Emerald Chaps. Id: 11003, amount: 1	
[4/17/23 07:24AM] Received item from Like My Peep. Name: Emerald Coif. Id: 11001, amount: 1	
[4/17/23 07:24AM] Received item from Like My Peep. Name: Emerald Crossbow. Id: 8088, amount: 1	
[4/17/23 08:43AM] Gave item to Rasengan. Name: Emerald Chaps. Id: 11003, amount: 1	
[4/17/23 08:43AM] Received item from Rasengan. Name: Tarn token. Id: 10835, amount: 26674	
[4/18/23 05:55PM] Gave item to Author. Name: $1 Scroll. Id: 10946, amount: 20	
[4/18/23 05:55PM] Received item from Author. Name: Tarn token. Id: 10835, amount: 700330	
[4/18/23 06:54PM] Gave item to Slayer. Name: $1 Scroll. Id: 10946, amount: 3	
[4/18/23 06:54PM] Received item from Slayer. Name: Tarn token. Id: 10835, amount: 120000	
[4/20/23 07:09AM] Gave item to Juust. Name: Nite Boots. Id: 17622, amount: 1	
[4/20/23 07:09AM] Received item from Juust. Name: Tarn token. Id: 10835, amount: 400000	
[4/20/23 07:26AM] Gave item to Onlyfans. Name: $1 Scroll. Id: 10946, amount: 23	
[4/20/23 07:26AM] Received item from Onlyfans. Name: Tarn token. Id: 10835, amount: 1375000	
