[4/15/23 09:57AM] Received item from Englishboss. Name: Imperial Minigun. Id: 18636, amount: 1	
[4/15/23 10:02AM] Gave item to Englishboss. Name: Super restore (4). Id: 3024, amount: 1	
[4/15/23 10:02AM] Gave item to Englishboss. Name: Super restore (4). Id: 3024, amount: 1	
[4/15/23 10:02AM] Gave item to Englishboss. Name: Super restore (4). Id: 3024, amount: 1	
[4/15/23 10:02AM] Gave item to Englishboss. Name: Super restore (4). Id: 3024, amount: 1	
[4/15/23 10:02AM] Received item from Englishboss. Name: Zinq legs. Id: 23052, amount: 1	
[4/15/23 10:02AM] Received item from Englishboss. Name: Imperial Minigun. Id: 18636, amount: 1	
[4/15/23 10:02AM] Received item from Englishboss. Name: Zinq boots. Id: 23054, amount: 1	
[4/15/23 10:02AM] Received item from Englishboss. Name: Zinq helm. Id: 23050, amount: 1	
[4/15/23 07:15PM] Received item from Grimmy. Name: Patience helm. Id: 23034, amount: 1	
[4/15/23 07:17PM] Received item from Grimmy. Name: Patience body. Id: 23035, amount: 1	
[4/16/23 12:18AM] Received item from Like My Peep. Name: Doom Aura. Id: 12614, amount: 1	
[4/16/23 01:01AM] Gave item to Like My Peep. Name: Vote scroll. Id: 23020, amount: 17	
[4/16/23 01:01AM] Received item from Like My Peep. Name: Coin. Id: 995, amount: 340000000	
[4/16/23 07:28PM] Gave item to Onlyfans. Name: Vote scroll. Id: 23020, amount: 8	
[4/16/23 07:28PM] Received item from Onlyfans. Name: Tarn token. Id: 10835, amount: 90000	
[4/17/23 07:37AM] Gave item to David. Name: Antique Helm. Id: 8816, amount: 1	
[4/17/23 07:37AM] Gave item to David. Name: Antique Body. Id: 8817, amount: 1	
[4/17/23 07:37AM] Gave item to David. Name: Sinful Staff. Id: 14377, amount: 1	
[4/17/23 07:23PM] Gave item to Onlyfans. Name: Tarn token. Id: 10835, amount: 150000	
[4/17/23 07:23PM] Received item from Onlyfans. Name: Executive Legs. Id: 4686, amount: 1	
[4/17/23 09:09PM] Gave item to Hyena. Name: Tarn token. Id: 10835, amount: 150000	
[4/17/23 09:09PM] Received item from Hyena. Name: Solar Staff. Id: 22135, amount: 1	
[4/17/23 09:13PM] Gave item to Weed. Name: Executive Legs. Id: 4686, amount: 1	
[4/17/23 09:28PM] Received item from Weed. Name: $10 Bond. Id: 23057, amount: 1	
[4/18/23 07:48PM] Gave item to Onlyfans. Name: Damnation Box. Id: 20491, amount: 1	
[4/18/23 07:48PM] Received item from Onlyfans. Name: Tarn token. Id: 10835, amount: 5576879	
[4/19/23 08:28AM] Gave item to Onlyfans. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/19/23 08:28AM] Received item from Onlyfans. Name: Tarn token. Id: 10835, amount: 750000	
