[4/19/23 12:51PM] Received item from Itsjuzagame. Name: Lava bones. Id: 2023, amount: 25	
[4/19/23 12:51PM] Received item from Itsjuzagame. Name: Vote scroll. Id: 23020, amount: 5	
[4/19/23 12:51PM] Received item from Itsjuzagame. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/19/23 12:51PM] Received item from Itsjuzagame. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/19/23 12:51PM] Received item from Itsjuzagame. Name: Imperial Staff. Id: 18629, amount: 1	
[4/19/23 12:51PM] Received item from Itsjuzagame. Name: Imperial Minigun. Id: 18636, amount: 1	
[4/19/23 12:51PM] Received item from Itsjuzagame. Name: Progressive Box [T1]. Id: 10025, amount: 1	
[4/19/23 12:51PM] Received item from Itsjuzagame. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/19/23 12:51PM] Received item from Itsjuzagame. Name: Infinite healing potion (T1). Id: 23118, amount: 1	
[4/19/23 12:51PM] Received item from Itsjuzagame. Name: Tarn token. Id: 10835, amount: 586	
[4/19/23 12:51PM] Received item from Itsjuzagame. Name: Super restore (4). Id: 3025, amount: 100	
[4/19/23 12:51PM] Received item from Itsjuzagame. Name: Fury shark. Id: 17818, amount: 100	
[4/19/23 12:51PM] Received item from Itsjuzagame. Name: Starter Staff. Id: 22092, amount: 1	
[4/19/23 12:51PM] Received item from Itsjuzagame. Name: Coin. Id: 995, amount: 8425024	
[4/19/23 12:51PM] Received item from Itsjuzagame. Name: EXP Potion (Divine). Id: 1033, amount: 1	
[4/19/23 12:51PM] Received item from Itsjuzagame. Name: $1 Scroll. Id: 10946, amount: 5	
[4/19/23 12:51PM] Received item from Itsjuzagame. Name: DMG Potion (Mortal). Id: 3090, amount: 1	
[4/19/23 01:15PM] Received item from Rasengan. Name: Lava bones. Id: 2023, amount: 2718	
[4/19/23 08:08PM] Gave item to Like My Peep. Name: $10 Bond. Id: 23057, amount: 1	
[4/19/23 08:08PM] Received item from Like My Peep. Name: Tarn token. Id: 10835, amount: 500000	
