[4/20/23 06:08AM] Received item from Wr3ckedyou. Name: Progressive Box [T1]. Id: 10025, amount: 1	
[4/20/23 06:25AM] Gave item to Onlyfans. Name: $1 Scroll. Id: 10946, amount: 2	
[4/20/23 06:25AM] Received item from Onlyfans. Name: Tarn token. Id: 10835, amount: 100000	
[4/20/23 06:26AM] Received item from Onlyfans. Name: Executive Helm. Id: 4684, amount: 1	
[4/20/23 06:54AM] Received item from Resi. Name: Lava bones. Id: 2023, amount: 5000	
[4/20/23 11:30AM] Gave item to Ruthie. Name: Tarn token. Id: 10835, amount: 100168	
[4/20/23 11:30AM] Received item from Ruthie. Name: Collector necklace. Id: 19886, amount: 1	
[4/20/23 01:30PM] Gave item to Onlyfans. Name: $1 Scroll. Id: 10946, amount: 9	
[4/20/23 01:30PM] Received item from Onlyfans. Name: Executive Boots. Id: 8274, amount: 1	
[4/20/23 01:30PM] Received item from Onlyfans. Name: Executive Legs. Id: 4686, amount: 1	
[4/20/23 01:30PM] Received item from Onlyfans. Name: Executive Gloves. Id: 8273, amount: 1	
[4/20/23 01:30PM] Received item from Onlyfans. Name: Executive Helm. Id: 4684, amount: 1	
[4/20/23 01:30PM] Received item from Onlyfans. Name: Gorvek Pet. Id: 23081, amount: 1	
[4/20/23 01:30PM] Received item from Onlyfans. Name: Solar Robe Top. Id: 15646, amount: 1	
[4/21/23 08:40AM] Gave item to Blade. Name: Executive Helm. Id: 4684, amount: 1	
[4/21/23 08:40AM] Gave item to Blade. Name: Gorvek Pet. Id: 23081, amount: 1	
[4/21/23 08:40AM] Gave item to Blade. Name: Executive Legs. Id: 4686, amount: 1	
[4/21/23 08:40AM] Gave item to Blade. Name: Inferno Gloves. Id: 13302, amount: 1	
[4/21/23 08:48AM] Received item from Blade. Name: $1 Scroll. Id: 10946, amount: 17	
[4/21/23 08:48AM] Received item from Blade. Name: Vote scroll. Id: 23020, amount: 9	
[4/21/23 09:18AM] Received item from Blade. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/21/23 09:18AM] Received item from Blade. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/21/23 09:18AM] Received item from Blade. Name: Double DR Scroll 1 Hour. Id: 15355, amount: 1	
[4/21/23 09:18AM] Received item from Blade. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/21/23 09:18AM] Received item from Blade. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/21/23 09:18AM] Received item from Blade. Name: DMG Potion (Mortal). Id: 3090, amount: 1	
[4/21/23 09:18AM] Received item from Blade. Name: EXP Potion (Divine). Id: 1033, amount: 1	
[4/21/23 09:18AM] Received item from Blade. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/21/23 09:18AM] Received item from Blade. Name: Vote scroll. Id: 23020, amount: 2	
[4/21/23 09:18AM] Received item from Blade. Name: Coin. Id: 995, amount: 1	
[4/21/23 11:36AM] Received item from Blade. Name: $1 Scroll. Id: 10946, amount: 9	
[4/21/23 11:36AM] Received item from Blade. Name: Vote scroll. Id: 23020, amount: 3	
[4/21/23 12:09PM] Received item from Blade. Name: Vote scroll. Id: 23020, amount: 9	
[4/21/23 12:09PM] Received item from Blade. Name: $1 Scroll. Id: 10946, amount: 20	
[4/21/23 12:09PM] Received item from Blade. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/21/23 01:09PM] Gave item to Oblivion. Name: Sovereignty prayer scroll. Id: 23169, amount: 1	
[4/21/23 01:09PM] Received item from Oblivion. Name: Tarn token. Id: 10835, amount: 4000000	
[4/21/23 01:15PM] Received item from Blade. Name: $1 Scroll. Id: 10946, amount: 20	
[4/21/23 01:15PM] Received item from Blade. Name: Vote scroll. Id: 23020, amount: 12	
[4/21/23 03:09PM] Gave item to Blade. Name: Obsidian Crossbow. Id: 23066, amount: 1	
[4/21/23 03:09PM] Received item from Blade. Name: $1 Scroll. Id: 10946, amount: 16	
[4/21/23 03:09PM] Received item from Blade. Name: Vote scroll. Id: 23020, amount: 6	
[4/22/23 03:05AM] Gave item to Blade. Name: Executive Boots. Id: 8274, amount: 1	
[4/22/23 03:05AM] Received item from Blade. Name: $1 Scroll. Id: 10946, amount: 13	
[4/22/23 03:05AM] Received item from Blade. Name: Vote scroll. Id: 23020, amount: 12	
[4/22/23 03:05AM] Received item from Blade. Name: Tarn token. Id: 10835, amount: 11763	
[4/22/23 08:38AM] Gave item to Blade. Name: Deviant Wings. Id: 21024, amount: 1	
[4/22/23 08:38AM] Received item from Blade. Name: $1 Scroll. Id: 10946, amount: 19	
[4/22/23 08:38AM] Received item from Blade. Name: Vote scroll. Id: 23020, amount: 6	
[4/22/23 10:02AM] Received item from Blade. Name: Vote scroll. Id: 23020, amount: 6	
[4/22/23 10:02AM] Received item from Blade. Name: $1 Scroll. Id: 10946, amount: 5	
[4/22/23 10:41AM] Received item from Blade. Name: $1 Scroll. Id: 10946, amount: 5	
[4/22/23 10:41AM] Received item from Blade. Name: Coin. Id: 995, amount: 100741584	
[4/22/23 10:41AM] Received item from Blade. Name: Owner cape goodiebag. Id: 3578, amount: 1	
[4/22/23 10:43AM] Gave item to Blade. Name: Solar Robe Top. Id: 15646, amount: 1	
<<<<<<< Updated upstream
[4/26/23 12:58AM] Gave item to Blind Shit. Name: Groudon Helm. Id: 21934, amount: 1	
[4/26/23 12:58AM] Gave item to Blind Shit. Name: Groudon Staff. Id: 13640, amount: 1	
[4/26/23 12:58AM] Gave item to Blind Shit. Name: Upgraded Owner's Cape. Id: 22109, amount: 1	
[4/26/23 01:21AM] Gave item to Blind Shit. Name: Groudon Body. Id: 19918, amount: 1	
=======
[4/24/23 09:22PM] Received item from Blade. Name: $1 Scroll. Id: 10946, amount: 40	
[4/24/23 09:22PM] Received item from Blade. Name: Vote scroll. Id: 23020, amount: 16	
[4/24/23 09:22PM] Received item from Blade. Name: Coin. Id: 995, amount: 23330541	
[4/24/23 10:06PM] Received item from Blind Shit. Name: Groudon Staff. Id: 13640, amount: 1	
[4/24/23 10:19PM] Received item from Blind Shit. Name: Upgraded Owner's Cape. Id: 22109, amount: 1	
[4/24/23 10:19PM] Received item from Blind Shit. Name: Groudon Body. Id: 19918, amount: 1	
[4/24/23 10:19PM] Received item from Blind Shit. Name: Groudon Helm. Id: 21934, amount: 1	
[4/25/23 12:38AM] Received item from Blade. Name: Owner cape goodiebag. Id: 3578, amount: 1	
[4/25/23 12:38AM] Received item from Blade. Name: Vote scroll. Id: 23020, amount: 6	
[4/25/23 12:38AM] Received item from Blade. Name: $1 Scroll. Id: 10946, amount: 14	
>>>>>>> Stashed changes
