[4/19/23 07:58AM] Received item from Im A Potato. Name: Agumon Gloves. Id: 22159, amount: 1	
[4/19/23 07:58AM] Received item from Im A Potato. Name: Agumon Boots. Id: 22158, amount: 1	
[4/19/23 07:58AM] Received item from Im A Potato. Name: Agumon Body. Id: 22153, amount: 1	
[4/19/23 07:58AM] Received item from Im A Potato. Name: Agumon Aura. Id: 22160, amount: 1	
[4/19/23 07:58AM] Received item from Im A Potato. Name: Drop rate scroll. Id: 23178, amount: 1	
[4/19/23 07:58AM] Received item from Im A Potato. Name: Agumon Helmet. Id: 22152, amount: 1	
[4/19/23 08:12AM] Gave item to Im A Potato. Name: Drop rate scroll. Id: 23178, amount: 1	
[4/19/23 08:54AM] Gave item to Im A Potato. Name: Agumon Boots. Id: 22158, amount: 1	
[4/19/23 08:54AM] Gave item to Im A Potato. Name: Agumon Helmet. Id: 22152, amount: 1	
[4/19/23 08:54AM] Gave item to Im A Potato. Name: Agumon Body. Id: 22153, amount: 1	
[4/19/23 08:54AM] Gave item to Im A Potato. Name: Agumon Gloves. Id: 22159, amount: 1	
[4/19/23 08:54AM] Gave item to Im A Potato. Name: Agumon Aura. Id: 22160, amount: 1	
[4/20/23 06:17AM] Received item from Im A Potato. Name: Vote scroll. Id: 23020, amount: 100	
[4/20/23 06:18AM] Gave item to Im A Potato. Name: $25 Bond. Id: 23058, amount: 3	
[4/20/23 06:18AM] Gave item to Im A Potato. Name: Cursed Box. Id: 15003, amount: 1	
[4/20/23 06:18AM] Gave item to Im A Potato. Name: Gracious Box. Id: 15002, amount: 1	
[4/20/23 06:18AM] Gave item to Im A Potato. Name: $10 Bond. Id: 23057, amount: 1	
[4/20/23 06:24AM] Gave item to Im A Potato. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/20/23 06:24AM] Gave item to Im A Potato. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/20/23 06:24AM] Gave item to Im A Potato. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/20/23 06:24AM] Gave item to Im A Potato. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/20/23 06:24AM] Gave item to Im A Potato. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/20/23 06:24AM] Gave item to Im A Potato. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/20/23 06:24AM] Gave item to Im A Potato. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/20/23 06:24AM] Gave item to Im A Potato. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/20/23 06:24AM] Gave item to Im A Potato. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/20/23 06:24AM] Gave item to Im A Potato. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
