[4/22/23 06:07PM] Gave item to O T T E R. Name: Tarn token. Id: 10835, amount: 671	
[4/22/23 06:07PM] Gave item to O T T E R. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/22/23 06:07PM] Gave item to O T T E R. Name: Coin. Id: 995, amount: 9507545	
[4/22/23 06:07PM] Received item from O T T E R. Name: Solar Hood. Id: 15645, amount: 1	
[4/22/23 06:07PM] Received item from O T T E R. Name: Antique Gloves. Id: 8819, amount: 1	
[4/22/23 06:07PM] Received item from O T T E R. Name: Unknown Legs. Id: 21044, amount: 1	
[4/22/23 06:07PM] Received item from O T T E R. Name: Unknown Body. Id: 21043, amount: 1	
[4/22/23 06:07PM] Received item from O T T E R. Name: Executive Cape. Id: 9939, amount: 1	
[4/22/23 06:07PM] Received item from O T T E R. Name: Antique Staff. Id: 23145, amount: 1	
[4/22/23 06:07PM] Received item from O T T E R. Name: Sanctum Golem Pet. Id: 19481, amount: 1	
[4/22/23 06:08PM] Received item from O T T E R. Name: Obsidian Crossbow Off-Hand. Id: 23067, amount: 1	
[4/22/23 06:53PM] Gave item to Slayer. Name: Tarn token. Id: 10835, amount: 5915	
[4/22/23 06:53PM] Received item from Slayer. Name: Champion Helm. Id: 15924, amount: 1	
[4/22/23 06:53PM] Received item from Slayer. Name: Solar Staff. Id: 22135, amount: 1	
[4/22/23 06:53PM] Received item from Slayer. Name: Rogue Legs. Id: 22125, amount: 1	
[4/22/23 06:53PM] Received item from Slayer. Name: Sanctum Golem Pet. Id: 19481, amount: 1	
[4/22/23 06:53PM] Received item from Slayer. Name: Solar Robe Top. Id: 15646, amount: 1	
[4/23/23 12:07AM] Received item from Slayer. Name: Lucifer boots. Id: 22103, amount: 1	
[4/23/23 12:07AM] Received item from Slayer. Name: Solar Robe Bottom. Id: 15647, amount: 1	
