[4/20/23 02:25PM] Gave item to Brazil. Name: Vote scroll. Id: 23020, amount: 2	
[4/20/23 02:25PM] Gave item to Brazil. Name: EXP Potion (Divine). Id: 1033, amount: 1	
[4/20/23 02:25PM] Gave item to Brazil. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/20/23 02:25PM] Gave item to Brazil. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/20/23 02:25PM] Gave item to Brazil. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/20/23 02:25PM] Gave item to Brazil. Name: DMG Potion (Mortal). Id: 3090, amount: 1	
[4/20/23 02:25PM] Gave item to Brazil. Name: Tarn token. Id: 10835, amount: 245	
[4/20/23 02:25PM] Gave item to Brazil. Name: Coin. Id: 995, amount: 7017460	
[4/22/23 04:43AM] Gave item to Vetbrazil. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/22/23 04:43AM] Gave item to Vetbrazil. Name: EXP Potion (Divine). Id: 1033, amount: 1	
[4/22/23 04:43AM] Gave item to Vetbrazil. Name: DMG Potion (Mortal). Id: 3090, amount: 1	
[4/22/23 04:43AM] Gave item to Vetbrazil. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/22/23 04:43AM] Gave item to Vetbrazil. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/22/23 04:43AM] Gave item to Vetbrazil. Name: Vote scroll. Id: 23020, amount: 2	
[4/22/23 04:43AM] Gave item to Vetbrazil. Name: Tarn token. Id: 10835, amount: 488	
[4/22/23 04:43AM] Gave item to Vetbrazil. Name: Coin. Id: 995, amount: 6026627	
