[4/20/23 08:00PM] Received item from Sad. Name: Antique Staff. Id: 23145, amount: 1	
[4/20/23 08:00PM] Received item from Sad. Name: Zircon (Wizard). Id: 23092, amount: 1	
[4/20/23 08:00PM] Received item from Sad. Name: Obsidian Helm. Id: 23061, amount: 1	
[4/20/23 08:00PM] Received item from Sad. Name: Obsidian Body. Id: 23062, amount: 1	
[4/20/23 09:23PM] Received item from Sad. Name: Lava bones. Id: 2023, amount: 10420	
[4/21/23 02:38PM] Received item from Sad. Name: White Wand. Id: 22167, amount: 1	
[4/21/23 04:57PM] Received item from Onlyfans. Name: Tarn token. Id: 10835, amount: 914222	
[4/21/23 10:48PM] Received item from Sad. Name: Solar Hood. Id: 15645, amount: 1	
[4/21/23 11:46PM] Received item from Sad. Name: White Legs. Id: 22164, amount: 1	
[4/21/23 11:46PM] Received item from Sad. Name: White Wings. Id: 22166, amount: 1	
[4/21/23 11:53PM] Received item from Sad. Name: Gold Enhancement. Id: 17391, amount: 1	
[4/22/23 08:30AM] Gave item to Sad. Name: White Wand. Id: 22167, amount: 1	
[4/23/23 02:17AM] Received item from Sad. Name: Agumon Bow. Id: 22155, amount: 1	
