[4/19/23 01:37PM] Received item from Entropy. Name: AFK ticket. Id: 5020, amount: 1057029	
[4/20/23 08:03AM] Gave item to Entropy. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/20/23 08:03AM] Gave item to Entropy. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/20/23 08:03AM] Gave item to Entropy. Name: Vote scroll. Id: 23020, amount: 2	
[4/20/23 08:03AM] Gave item to Entropy. Name: PvM Casket. Id: 2736, amount: 5	
[4/20/23 08:03AM] Gave item to Entropy. Name: DMG Potion (Mortal). Id: 3090, amount: 1	
[4/20/23 08:03AM] Gave item to Entropy. Name: EXP Potion (Divine). Id: 1033, amount: 1	
[4/20/23 08:03AM] Gave item to Entropy. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/21/23 01:38AM] Gave item to Entropy. Name: Blue h'ween mask. Id: 1055, amount: 1	
[4/22/23 11:20AM] Gave item to Entropy. Name: Overpowered chest (OP). Id: 20488, amount: 1	
[4/22/23 11:20AM] Gave item to Entropy. Name: Blue h'ween mask. Id: 1055, amount: 1	
[4/25/23 02:54PM] Gave item to Entropy. Name: Garfield mask. Id: 14068, amount: 1	
[4/25/23 02:54PM] Gave item to Entropy. Name: Garfield scarf. Id: 14073, amount: 1	
[4/25/23 02:54PM] Gave item to Entropy. Name: Garfield body. Id: 14069, amount: 1	
[4/25/23 02:54PM] Gave item to Entropy. Name: Garfield legs. Id: 14070, amount: 1	
[4/25/23 02:54PM] Gave item to Entropy. Name: Garfield gloves. Id: 14071, amount: 1	
[4/25/23 02:54PM] Gave item to Entropy. Name: Garfield boots. Id: 14072, amount: 1	
[4/25/23 02:54PM] Gave item to Entropy. Name: speed pickaxe. Id: 19812, amount: 1	
[4/25/23 02:54PM] Gave item to Entropy. Name: Hooker pet. Id: 20511, amount: 1	
[4/25/23 03:09PM] Received item from Entropy. Name: Garfield mask. Id: 14068, amount: 1	
[4/25/23 03:09PM] Received item from Entropy. Name: Garfield scarf. Id: 14073, amount: 1	
[4/25/23 03:09PM] Received item from Entropy. Name: Garfield body. Id: 14069, amount: 1	
[4/25/23 03:09PM] Received item from Entropy. Name: Garfield legs. Id: 14070, amount: 1	
[4/25/23 03:09PM] Received item from Entropy. Name: Garfield gloves. Id: 14071, amount: 1	
[4/25/23 03:09PM] Received item from Entropy. Name: Garfield boots. Id: 14072, amount: 1	
[4/25/23 03:09PM] Received item from Entropy. Name: speed pickaxe. Id: 19812, amount: 1	
[4/25/23 03:09PM] Received item from Entropy. Name: Hooker pet. Id: 20511, amount: 1	
[4/25/23 03:09PM] Received item from Entropy. Name: Bronze pickaxe. Id: 1265, amount: 1	
