[4/19/23 07:49PM] Received item from A Fatality. Name: Infinite healing potion (T3). Id: 23120, amount: 1	
[4/19/23 07:49PM] Received item from A Fatality. Name: Mutant's statuette. Id: 15586, amount: 1	
[4/19/23 07:49PM] Received item from A Fatality. Name: Executive Helm. Id: 4684, amount: 1	
[4/19/23 07:49PM] Received item from A Fatality. Name: Executive Legs. Id: 4686, amount: 1	
[4/19/23 07:49PM] Received item from A Fatality. Name: Executive Gloves. Id: 8273, amount: 1	
[4/19/23 07:49PM] Received item from A Fatality. Name: Executive Boots. Id: 8274, amount: 1	
[4/19/23 07:49PM] Received item from A Fatality. Name: Lust Staff. Id: 8809, amount: 1	
[4/19/23 07:50PM] Received item from A Fatality. Name: Gorvek Pet. Id: 23081, amount: 1	
[4/19/23 08:04PM] Received item from A Fatality. Name: Lava bones. Id: 2023, amount: 5000	
[4/19/23 08:07PM] Received item from Hc Pvm. Name: Nagi Ballista. Id: 21055, amount: 1	
[4/19/23 08:09PM] Received item from Hc Pvm. Name: Zircon (Ranger). Id: 23093, amount: 1	
[4/19/23 08:22PM] Received item from Hc Pvm. Name: Lava bones. Id: 2023, amount: 32037	
[4/19/23 11:28PM] Gave item to A Fatality. Name: $1 Scroll. Id: 10946, amount: 2	
[4/19/23 11:39PM] Gave item to Veraces. Name: Nagi Ballista. Id: 21055, amount: 1	
[4/21/23 12:29AM] Gave item to Gor3whor3. Name: Gold Enhancement. Id: 17391, amount: 1	
[4/21/23 07:40AM] Gave item to Roe. Name: Emerald Coif. Id: 11001, amount: 1	
[4/21/23 03:11PM] Gave item to Onlyfans. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/21/23 03:11PM] Received item from Onlyfans. Name: Tarn token. Id: 10835, amount: 3000000	
[4/21/23 04:32PM] Gave item to Its Me. Name: Collector necklace. Id: 19886, amount: 1	
[4/21/23 04:52PM] Gave item to Insane. Name: Black platebody (h4). Id: 19490, amount: 1	
[4/21/23 04:56PM] Gave item to Insane. Name: Unknown Helm. Id: 21042, amount: 1	
