[4/18/23 06:19PM] Gave item to Winter. Name: Tarn token. Id: 10835, amount: 9987	
[4/18/23 06:19PM] Received item from Winter. Name: Deviant Wings. Id: 21024, amount: 1	
[4/18/23 08:01PM] Gave item to Onlyfans. Name: Tarn token. Id: 10835, amount: 808004	
[4/18/23 08:01PM] Received item from Onlyfans. Name: Miner chestplate (rune). Id: 20586, amount: 1	
[4/18/23 08:01PM] Received item from Onlyfans. Name: Gladiator Helm. Id: 15005, amount: 1	
[4/20/23 08:57PM] Gave item to Onlyfans. Name: Tarn token. Id: 10835, amount: 514612	
[4/20/23 08:57PM] Received item from Onlyfans. Name: Groudon Boots. Id: 3107, amount: 1	
[4/20/23 08:57PM] Received item from Onlyfans. Name: Groudon Body. Id: 19918, amount: 1	
[4/20/23 08:57PM] Received item from Onlyfans. Name: Groudon Staff. Id: 13640, amount: 1	
[4/20/23 08:57PM] Received item from Onlyfans. Name: Groudon Aura. Id: 15448, amount: 1	
[4/20/23 08:57PM] Received item from Onlyfans. Name: Executive Legs. Id: 4686, amount: 1	
[4/20/23 08:57PM] Received item from Onlyfans. Name: Groudon Helm. Id: 21934, amount: 1	
