[4/20/23 12:10AM] Gave item to Hubby. Name: Titan Helm. Id: 8803, amount: 1	
[4/20/23 12:10AM] Gave item to Hubby. Name: Aberrant Gloves. Id: 11140, amount: 1	
[4/20/23 12:10AM] Gave item to Hubby. Name: Antique Bow. Id: 23144, amount: 1	
[4/20/23 12:10AM] Gave item to Hubby. Name: Nagi Body. Id: 21063, amount: 1	
[4/20/23 12:10AM] Gave item to Hubby. Name: Zinq shield. Id: 23056, amount: 1	
[4/20/23 12:10AM] Gave item to Hubby. Name: Imperial ring. Id: 20093, amount: 1	
[4/20/23 12:10AM] Gave item to Hubby. Name: Sinful Boots. Id: 10865, amount: 1	
[4/20/23 12:10AM] Gave item to Hubby. Name: Collector necklace. Id: 19886, amount: 1	
[4/20/23 12:10AM] Gave item to Hubby. Name: Nagi Cape. Id: 21071, amount: 1	
[4/20/23 12:10AM] Gave item to Hubby. Name: Inferno Legs. Id: 13304, amount: 1	
[4/20/23 12:10AM] Gave item to Hubby. Name: Tarn token. Id: 10835, amount: 41713	
[4/22/23 08:37AM] Received item from Hubby. Name: Tarn token. Id: 10835, amount: 11989	
[4/22/23 08:37AM] Received item from Hubby. Name: Coin. Id: 995, amount: 1197052	
[4/22/23 08:37AM] Received item from Hubby. Name: Lava bones. Id: 2023, amount: 2805	
[4/22/23 08:37AM] Received item from Hubby. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/22/23 08:37AM] Received item from Hubby. Name: Antique Bow. Id: 23144, amount: 1	
[4/22/23 08:37AM] Received item from Hubby. Name: Slayer ticket. Id: 5023, amount: 461	
[4/22/23 08:37AM] Received item from Hubby. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/22/23 08:37AM] Received item from Hubby. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/22/23 08:37AM] Received item from Hubby. Name: Solar Hood. Id: 15645, amount: 1	
[4/22/23 08:37AM] Received item from Hubby. Name: Sinful Gloves. Id: 12864, amount: 1	
[4/22/23 08:37AM] Received item from Hubby. Name: Solar Robe Top. Id: 15646, amount: 1	
[4/22/23 08:37AM] Received item from Hubby. Name: Inferno Legs. Id: 13304, amount: 1	
[4/22/23 08:37AM] Received item from Hubby. Name: Starter Staff. Id: 22092, amount: 1	
[4/22/23 08:37AM] Received item from Hubby. Name: Clean Ralorage. Id: 919, amount: 1	
[4/22/23 08:37AM] Received item from Hubby. Name: Nagi Cape. Id: 21071, amount: 1	
[4/22/23 08:37AM] Received item from Hubby. Name: Imperial ring. Id: 20093, amount: 1	
[4/22/23 08:37AM] Received item from Hubby. Name: Collector necklace. Id: 19886, amount: 1	
[4/22/23 08:37AM] Received item from Hubby. Name: Sinful Boots. Id: 10865, amount: 1	
[4/22/23 08:37AM] Received item from Hubby. Name: Zinq shield. Id: 23056, amount: 1	
