[4/22/23 02:40PM] Received item from Hc Pvm. Name: Infinite overload potion (T3). Id: 23126, amount: 1	
[4/22/23 02:40PM] Received item from Hc Pvm. Name: Groudon Helm. Id: 21934, amount: 1	
[4/22/23 02:40PM] Received item from Hc Pvm. Name: Nite Necklace. Id: 11195, amount: 1	
[4/22/23 02:40PM] Received item from Hc Pvm. Name: Fazula Body. Id: 4067, amount: 1	
[4/22/23 02:40PM] Received item from Hc Pvm. Name: Demonlord Legs. Id: 14186, amount: 1	
[4/22/23 02:40PM] Received item from Hc Pvm. Name: Groudon Shield. Id: 13964, amount: 1	
[4/22/23 02:40PM] Received item from Hc Pvm. Name: Blood Enhancement. Id: 1857, amount: 1	
[4/22/23 02:40PM] Received item from Hc Pvm. Name: Nite Wings. Id: 17606, amount: 1	
[4/22/23 02:40PM] Received item from Hc Pvm. Name: Zorbak's statuette. Id: 15585, amount: 1	
[4/22/23 02:40PM] Received item from Hc Pvm. Name: Zircon (Wizard). Id: 23092, amount: 1	
[4/22/23 02:40PM] Received item from Hc Pvm. Name: Groudon Boots. Id: 3107, amount: 1	
[4/22/23 02:40PM] Received item from Hc Pvm. Name: Aura (T6). Id: 23049, amount: 1	
[4/22/23 02:40PM] Received item from Hc Pvm. Name: Groudon Aura. Id: 15448, amount: 1	
[4/22/23 02:40PM] Received item from Hc Pvm. Name: Unknown Gloves. Id: 21046, amount: 1	
[4/22/23 05:22PM] Received item from Hc Pvm. Name: Miner chestplate (rune). Id: 20586, amount: 1	
[4/22/23 05:29PM] Received item from Hc Pvm. Name: Groudon Legs. Id: 19913, amount: 1	
[4/22/23 05:29PM] Received item from Hc Pvm. Name: Solar Staff. Id: 22135, amount: 1	
[4/22/23 05:31PM] Gave item to Hc Pvm. Name: Groudon Legs. Id: 19913, amount: 1	
[4/22/23 05:31PM] Gave item to Hc Pvm. Name: Blurite Katana. Id: 14484, amount: 1	
[4/22/23 05:32PM] Gave item to Hc Pvm. Name: Demonlord Legs. Id: 14186, amount: 1	
[4/22/23 05:32PM] Received item from Hc Pvm. Name: Groudon Legs. Id: 19913, amount: 1	
[4/22/23 05:42PM] Received item from Hc Pvm. Name: Vote scroll. Id: 23020, amount: 10	
[4/22/23 05:42PM] Received item from Hc Pvm. Name: Gold Enhancement. Id: 17391, amount: 1	
