[4/16/23 08:08AM] Received item from Ratskii. Name: Coin. Id: 995, amount: 2306302	
[4/16/23 08:08AM] Received item from Ratskii. Name: Tarn token. Id: 10835, amount: 41537	
[4/16/23 08:08AM] Received item from Ratskii. Name: Super restore (4). Id: 3025, amount: 92	
[4/16/23 08:08AM] Received item from Ratskii. Name: Imperial Staff. Id: 18629, amount: 1	
[4/16/23 08:08AM] Received item from Ratskii. Name: Mystic book. Id: 23027, amount: 1	
[4/16/23 08:08AM] Received item from Ratskii. Name: Infinite overload potion (T1). Id: 23124, amount: 1	
[4/16/23 08:08AM] Received item from Ratskii. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/16/23 08:08AM] Received item from Ratskii. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/16/23 08:08AM] Received item from Ratskii. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/16/23 08:08AM] Received item from Ratskii. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/16/23 08:08AM] Received item from Ratskii. Name: Double DR Scroll 1 Hour. Id: 15355, amount: 1	
[4/16/23 08:08AM] Received item from Ratskii. Name: Lava bones. Id: 2023, amount: 751	
[4/16/23 08:08AM] Received item from Ratskii. Name: Slayer ticket. Id: 5023, amount: 306	
[4/16/23 08:08AM] Received item from Ratskii. Name: Double DR Scroll 1 Hour. Id: 15355, amount: 1	
[4/16/23 08:08AM] Received item from Ratskii. Name: Inferno Blade. Id: 20542, amount: 1	
[4/16/23 08:08AM] Received item from Ratskii. Name: Sacred Helm. Id: 23134, amount: 1	
[4/16/23 08:08AM] Received item from Ratskii. Name: Collector necklace. Id: 19886, amount: 1	
[4/16/23 08:08AM] Received item from Ratskii. Name: Revenant Wings. Id: 18005, amount: 1	
[4/16/23 08:08AM] Received item from Ratskii. Name: Sacred Boots. Id: 23138, amount: 1	
[4/16/23 08:08AM] Received item from Ratskii. Name: Maze Legs. Id: 5428, amount: 1	
[4/16/23 08:08AM] Received item from Ratskii. Name: Aberrant Body. Id: 20593, amount: 1	
[4/16/23 08:08AM] Received item from Ratskii. Name: Nagi Ring. Id: 21069, amount: 1	
[4/16/23 08:08AM] Received item from Ratskii. Name: Aberrant Gloves. Id: 11140, amount: 1	
[4/16/23 08:08AM] Received item from Ratskii. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/16/23 08:08AM] Received item from Ratskii. Name: Imperial Minigun. Id: 18636, amount: 1	
[4/16/23 08:11AM] Gave item to Ratskii. Name: Tarn token. Id: 10835, amount: 50	
[4/17/23 08:42AM] Received item from Like My Peep. Name: Emerald Crossbow. Id: 8088, amount: 1	
