[4/15/23 07:04AM] Gave item to Filth. Name: Lava bones. Id: 2023, amount: 100	
[4/15/23 07:07AM] Received item from Filth. Name: Zinq helm. Id: 23050, amount: 1	
[4/15/23 07:40AM] Gave item to Ronnie V2. Name: Tarn token. Id: 10835, amount: 7500	
[4/15/23 07:40AM] Received item from Ronnie V2. Name: Lava bones. Id: 2023, amount: 1516	
[4/15/23 07:41AM] Gave item to Banana. Name: Lava bones. Id: 2023, amount: 101	
[4/15/23 07:44AM] Received item from Banana. Name: Tarn token. Id: 10835, amount: 1100	
[4/15/23 07:44AM] Received item from Banana. Name: Zinq legs. Id: 23052, amount: 1	
[4/15/23 07:45AM] Gave item to Peach. Name: Lava bones. Id: 2023, amount: 100	
[4/15/23 07:47AM] Received item from Peach. Name: Tarn token. Id: 10835, amount: 1100	
[4/15/23 07:47AM] Received item from Peach. Name: Nagi Amulet. Id: 21068, amount: 1	
[4/15/23 07:48AM] Gave item to Oyster. Name: Lava bones. Id: 2023, amount: 101	
[4/15/23 07:52AM] Received item from Oyster. Name: Tarn token. Id: 10835, amount: 1150	
[4/15/23 07:53AM] Gave item to Sassy. Name: Lava bones. Id: 2023, amount: 100	
[4/15/23 08:00AM] Received item from Sassy. Name: Coin. Id: 995, amount: 1100000	
[4/15/23 08:00AM] Received item from Sassy. Name: Aberrant Gloves. Id: 11140, amount: 1	
[4/15/23 08:00AM] Gave item to Complain. Name: Lava bones. Id: 2023, amount: 101	
[4/15/23 08:04AM] Received item from Complain. Name: Nightmare hammers. Id: 23033, amount: 1	
[4/15/23 08:04AM] Received item from Complain. Name: Coin. Id: 995, amount: 1	
[4/15/23 08:04AM] Received item from Complain. Name: Coin. Id: 995, amount: 1099999	
[4/15/23 08:05AM] Gave item to Joker. Name: Lava bones. Id: 2023, amount: 101	
[4/15/23 08:08AM] Received item from Joker. Name: Tarn token. Id: 10835, amount: 1100	
[4/15/23 08:08AM] Received item from Joker. Name: Forsaken Body. Id: 14911, amount: 1	
[4/15/23 08:20AM] Received item from Walkchaos. Name: Progressive Box [T2]. Id: 10029, amount: 1	
[4/15/23 08:21AM] Gave item to Sociopath. Name: Lava bones. Id: 2023, amount: 100	
