[4/19/23 02:14AM] Gave item to Dodgeyguy. Name: $10 Bond. Id: 23057, amount: 5012	
[4/19/23 02:14AM] Gave item to Dodgeyguy. Name: Owner's Attachment. Id: 22110, amount: 13	
[4/19/23 02:14AM] Gave item to Dodgeyguy. Name: Vote scroll. Id: 23020, amount: 5014	
[4/21/23 08:52AM] Received item from Sad. Name: Nite Hammer Off-Hand. Id: 17700, amount: 1	
[4/22/23 06:09AM] Gave item to Gor3whor3. Name: Emerald Body. Id: 11002, amount: 1	
[4/22/23 06:52AM] Gave item to Gor3whor3. Name: Solar Robe Top. Id: 15646, amount: 1	
[4/23/23 12:07PM] Received item from Lootafk. Name: $1 Scroll. Id: 10946, amount: 12	
[4/23/23 12:07PM] Received item from Lootafk. Name: Vote scroll. Id: 23020, amount: 6	
[4/23/23 04:07PM] Received item from Inherited. Name: Tarn token. Id: 10835, amount: 700636	
[4/24/23 06:37AM] Gave item to Vetbrazil. Name: Aura (T6). Id: 23049, amount: 1	
[4/24/23 06:37AM] Received item from Vetbrazil. Name: Tarn token. Id: 10835, amount: 1023399	
[4/24/23 07:24AM] Gave item to Lo0t. Name: Gold Gloves. Id: 11181, amount: 1	
[4/24/23 07:24AM] Gave item to Lo0t. Name: Progressive Box [T2]. Id: 10029, amount: 1	
[4/24/23 07:24AM] Gave item to Lo0t. Name: Gold Legs. Id: 11179, amount: 1	
[4/24/23 07:24AM] Gave item to Lo0t. Name: Gold Boots. Id: 11182, amount: 1	
[4/24/23 07:24AM] Gave item to Lo0t. Name: Supreme Attachment. Id: 10947, amount: 3	
[4/24/23 07:24AM] Gave item to Lo0t. Name: Vote scroll. Id: 23020, amount: 9	
[4/24/23 07:24AM] Gave item to Lo0t. Name: $1 Scroll. Id: 10946, amount: 16	
[4/24/23 07:24AM] Gave item to Lo0t. Name: Yellow stone. Id: 15250, amount: 2	
[4/24/23 07:24AM] Gave item to Lo0t. Name: Green stone. Id: 15251, amount: 1	
[4/24/23 07:24AM] Gave item to Lo0t. Name: Infinite healing potion (T1). Id: 23118, amount: 1	
[4/24/23 07:24AM] Gave item to Lo0t. Name: Anchor (Special). Id: 10887, amount: 1	
[4/24/23 07:24AM] Gave item to Lo0t. Name: Super restore (4). Id: 3025, amount: 19998	
[4/24/23 07:24AM] Gave item to Lo0t. Name: Tarn token. Id: 10835, amount: 1824677	
[4/24/23 07:24AM] Gave item to Lo0t. Name: Coin. Id: 995, amount: 49276095	
[4/24/23 07:24AM] Gave item to Lo0t. Name: Solar Hood. Id: 15645, amount: 1	
[4/24/23 07:24AM] Gave item to Lo0t. Name: Slayer ticket. Id: 5023, amount: 2226	
[4/24/23 07:24AM] Gave item to Lo0t. Name: Lava bones. Id: 2023, amount: 2924	
[4/24/23 07:25AM] Gave item to Lo0t. Name: Solar Hood. Id: 15645, amount: 1	
[4/24/23 07:25AM] Gave item to Lo0t. Name: Zircon (Ranger). Id: 23093, amount: 1	
[4/24/23 07:25AM] Gave item to Lo0t. Name: Gold Enhancement. Id: 17391, amount: 1	
[4/24/23 07:25AM] Gave item to Lo0t. Name: Blood Gloves. Id: 16194, amount: 1	
[4/24/23 07:25AM] Gave item to Lo0t. Name: Godly Cape. Id: 1485, amount: 1	
[4/24/23 07:25AM] Gave item to Lo0t. Name: Inferno Shield. Id: 13306, amount: 1	
[4/24/23 07:25AM] Gave item to Lo0t. Name: Zorbak's statuette. Id: 15585, amount: 1	
[4/24/23 07:25AM] Gave item to Lo0t. Name: Collector necklace. Id: 19886, amount: 1	
[4/24/23 07:25AM] Gave item to Lo0t. Name: Lili Aura. Id: 22142, amount: 1	
[4/24/23 07:26AM] Received item from Lo0t. Name: Solar Hood. Id: 15645, amount: 1	
[4/24/23 07:26AM] Received item from Lo0t. Name: Zircon (Ranger). Id: 23093, amount: 1	
[4/24/23 07:26AM] Received item from Lo0t. Name: Gold Enhancement. Id: 17391, amount: 1	
[4/24/23 07:26AM] Received item from Lo0t. Name: Blood Gloves. Id: 16194, amount: 1	
[4/24/23 07:26AM] Received item from Lo0t. Name: Collector necklace. Id: 19886, amount: 1	
[4/24/23 07:26AM] Received item from Lo0t. Name: Zorbak's statuette. Id: 15585, amount: 1	
[4/24/23 07:26AM] Received item from Lo0t. Name: Inferno Shield. Id: 13306, amount: 1	
[4/24/23 07:26AM] Received item from Lo0t. Name: Godly Cape. Id: 1485, amount: 1	
[4/24/23 07:26AM] Received item from Lo0t. Name: Lili Aura. Id: 22142, amount: 1	
[4/24/23 07:26AM] Received item from Lo0t. Name: Anchor (Special). Id: 10887, amount: 1	
[4/24/23 07:26AM] Received item from Lo0t. Name: Gold Gloves. Id: 11181, amount: 1	
[4/24/23 07:26AM] Received item from Lo0t. Name: Progressive Box [T2]. Id: 10029, amount: 1	
[4/24/23 07:26AM] Received item from Lo0t. Name: Gold Legs. Id: 11179, amount: 1	
[4/24/23 07:26AM] Received item from Lo0t. Name: Solar Hood. Id: 15645, amount: 1	
[4/24/23 07:26AM] Received item from Lo0t. Name: Tarn token. Id: 10835, amount: 1824677	
[4/24/23 07:26AM] Received item from Lo0t. Name: Gold Boots. Id: 11182, amount: 1	
