[4/16/23 10:14PM] Received item from Froggers. Name: Lava bones. Id: 2023, amount: 1500	
[4/17/23 12:26AM] Received item from Loopus. Name: Super restore (4). Id: 3025, amount: 300	
[4/17/23 12:26AM] Received item from Loopus. Name: Fury shark. Id: 17818, amount: 300	
[4/17/23 12:26AM] Received item from Loopus. Name: Coin. Id: 995, amount: 2999999	
[4/17/23 12:26AM] Received item from Loopus. Name: Vote scroll. Id: 23020, amount: 4	
[4/17/23 12:31AM] Received item from Slapme2sleep. Name: Super restore (4). Id: 3025, amount: 100	
[4/17/23 12:31AM] Received item from Slapme2sleep. Name: Fury shark. Id: 17818, amount: 100	
[4/17/23 12:31AM] Received item from Slapme2sleep. Name: Coin. Id: 995, amount: 1000000	
[4/17/23 12:31AM] Received item from Slapme2sleep. Name: Vote scroll. Id: 23020, amount: 2	
[4/17/23 12:34AM] Received item from Tarnation. Name: Super restore (4). Id: 3025, amount: 100	
[4/17/23 12:34AM] Received item from Tarnation. Name: Fury shark. Id: 17818, amount: 100	
[4/17/23 12:34AM] Received item from Tarnation. Name: Coin. Id: 995, amount: 1000000	
[4/17/23 12:34AM] Received item from Tarnation. Name: Vote scroll. Id: 23020, amount: 2	
[4/17/23 12:39AM] Received item from Tartnugget. Name: Super restore (4). Id: 3025, amount: 100	
[4/17/23 12:39AM] Received item from Tartnugget. Name: Fury shark. Id: 17818, amount: 100	
[4/17/23 12:39AM] Received item from Tartnugget. Name: Coin. Id: 995, amount: 1000000	
[4/17/23 12:39AM] Received item from Tartnugget. Name: Vote scroll. Id: 23020, amount: 2	
[4/17/23 12:43AM] Received item from Cufk. Name: Super restore (4). Id: 3025, amount: 100	
[4/17/23 12:43AM] Received item from Cufk. Name: Fury shark. Id: 17818, amount: 100	
[4/17/23 12:43AM] Received item from Cufk. Name: Coin. Id: 995, amount: 1000000	
[4/17/23 12:43AM] Received item from Cufk. Name: Vote scroll. Id: 23020, amount: 2	
[4/17/23 12:46AM] Received item from Ninetails. Name: Super restore (4). Id: 3025, amount: 100	
[4/17/23 12:46AM] Received item from Ninetails. Name: Fury shark. Id: 17818, amount: 100	
[4/17/23 12:46AM] Received item from Ninetails. Name: Coin. Id: 995, amount: 1000000	
[4/17/23 12:46AM] Received item from Ninetails. Name: Vote scroll. Id: 23020, amount: 2	
[4/17/23 12:51AM] Received item from Krypto. Name: Super restore (4). Id: 3025, amount: 100	
[4/17/23 12:51AM] Received item from Krypto. Name: Vote scroll. Id: 23020, amount: 2	
[4/17/23 12:51AM] Received item from Krypto. Name: Coin. Id: 995, amount: 1000000	
[4/17/23 12:51AM] Received item from Krypto. Name: Fury shark. Id: 17818, amount: 100	
[4/17/23 11:27AM] Received item from Fpk Merk. Name: Progressive Box [T2]. Id: 10029, amount: 2	
[4/17/23 11:41AM] Received item from Loopus. Name: Coin. Id: 995, amount: 1000000	
[4/17/23 11:41AM] Received item from Loopus. Name: Champion Body. Id: 16023, amount: 1	
[4/17/23 11:41AM] Received item from Loopus. Name: Gold Cape. Id: 11762, amount: 1	
[4/17/23 11:41AM] Received item from Loopus. Name: Unknown Body. Id: 21043, amount: 1	
[4/17/23 11:41AM] Received item from Loopus. Name: Titan Body. Id: 8804, amount: 1	
[4/17/23 11:41AM] Received item from Loopus. Name: Lust Visor. Id: 8806, amount: 1	
[4/17/23 11:41AM] Received item from Loopus. Name: Doom Aura. Id: 12614, amount: 1	
[4/17/23 11:41AM] Received item from Loopus. Name: Super restore (4). Id: 3025, amount: 100	
[4/17/23 11:41AM] Received item from Loopus. Name: Fury shark. Id: 17818, amount: 100	
[4/17/23 11:46AM] Received item from Fpk Merk. Name: Progressive Box [T2]. Id: 10029, amount: 2	
[4/17/23 12:03PM] Received item from Froggers. Name: Lava bones. Id: 2023, amount: 1656	
[4/17/23 12:17PM] Received item from Loopus. Name: PvM Casket. Id: 2736, amount: 10	
[4/17/23 12:59PM] Received item from Froggers. Name: Lava bones. Id: 2023, amount: 2492	
[4/17/23 01:23PM] Received item from Froggers. Name: Blood Vitur. Id: 8136, amount: 1	
