[4/16/23 05:07PM] Gave item to Onlyfans. Name: Vote scroll. Id: 23020, amount: 6	
[4/16/23 05:07PM] Received item from Onlyfans. Name: Tarn token. Id: 10835, amount: 56757	
[4/16/23 05:08PM] Gave item to Onlyfans. Name: Vote scroll. Id: 23020, amount: 1	
[4/16/23 05:08PM] Received item from Onlyfans. Name: Tarn token. Id: 10835, amount: 12000	
[4/16/23 05:10PM] Gave item to Onlyfans. Name: Vote scroll. Id: 23020, amount: 2	
[4/16/23 05:10PM] Received item from Onlyfans. Name: Tarn token. Id: 10835, amount: 30000	
[4/16/23 05:27PM] Gave item to Immortal. Name: Antique Bow. Id: 23144, amount: 1	
[4/16/23 05:27PM] Received item from Immortal. Name: Antique Staff. Id: 23145, amount: 1	
[4/18/23 02:06AM] Gave item to Immortal. Name: Vote scroll. Id: 23020, amount: 2	
[4/18/23 02:06AM] Received item from Immortal. Name: Tarn token. Id: 10835, amount: 40000	
[4/18/23 02:18AM] Gave item to Entropy. Name: Emerald Body. Id: 11002, amount: 1	
[4/18/23 02:18AM] Received item from Entropy. Name: Lust Legging. Id: 8808, amount: 1	
[4/18/23 02:44AM] Gave item to Immortal. Name: Vote scroll. Id: 23020, amount: 1	
[4/18/23 02:44AM] Received item from Immortal. Name: Tarn token. Id: 10835, amount: 25000	
[4/20/23 05:09AM] Gave item to Nervus. Name: Vote scroll. Id: 23020, amount: 3	
[4/20/23 05:09AM] Received item from Nervus. Name: Tarn token. Id: 10835, amount: 75000	
[4/20/23 05:26AM] Gave item to Resi. Name: Tarn token. Id: 10835, amount: 58000	
[4/20/23 05:26AM] Received item from Resi. Name: Vote scroll. Id: 23020, amount: 2	
[4/20/23 05:28AM] Gave item to Tempest. Name: Antique Sword. Id: 23146, amount: 1	
[4/20/23 06:04AM] Gave item to U. Name: Lava bones. Id: 2023, amount: 1695	
[4/21/23 02:18PM] Gave item to Dream. Name: Lava bones. Id: 2023, amount: 2001	
[4/21/23 02:59PM] Received item from Nadez. Name: Miner chestplate (steel). Id: 20583, amount: 1	
[4/21/23 03:53PM] Gave item to Andrew Tate. Name: Sanctum Golem Pet. Id: 19481, amount: 1	
[4/21/23 03:53PM] Gave item to Andrew Tate. Name: Antique Bow. Id: 23144, amount: 1	
[4/23/23 04:38AM] Gave item to Juust. Name: Tarn token. Id: 10835, amount: 450000	
[4/23/23 04:38AM] Received item from Juust. Name: Solar Hood. Id: 15645, amount: 1	
[4/26/23 02:03PM] Received item from Entropy. Name: Fazula Staff. Id: 4071, amount: 1	
[4/26/23 02:03PM] Received item from Entropy. Name: Slender Man Pet. Id: 20586, amount: 1	
[4/26/23 02:03PM] Received item from Entropy. Name: Black Goku Body. Id: 14446, amount: 1	
[4/26/23 02:03PM] Received item from Entropy. Name: Black Goku Head. Id: 14440, amount: 1	
[4/26/23 02:03PM] Received item from Entropy. Name: Black Goku Legs. Id: 14438, amount: 1	
[4/27/23 12:31PM] Gave item to D3mon. Name: $1 Scroll. Id: 10946, amount: 5	
[4/27/23 12:31PM] Received item from D3mon. Name: Vote scroll. Id: 23020, amount: 5	
[4/27/23 12:32PM] Received item from D3mon. Name: Vote scroll. Id: 23020, amount: 1	
