[4/21/23 08:40AM] Received item from Bright. Name: Executive Helm. Id: 4684, amount: 1	
[4/21/23 08:40AM] Received item from Bright. Name: Gorvek Pet. Id: 23081, amount: 1	
[4/21/23 08:40AM] Received item from Bright. Name: Executive Legs. Id: 4686, amount: 1	
[4/21/23 08:40AM] Received item from Bright. Name: Inferno Gloves. Id: 13302, amount: 1	
[4/21/23 08:48AM] Gave item to Bright. Name: $1 Scroll. Id: 10946, amount: 17	
[4/21/23 08:48AM] Gave item to Bright. Name: Vote scroll. Id: 23020, amount: 9	
[4/21/23 09:18AM] Gave item to Bright. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/21/23 09:18AM] Gave item to Bright. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/21/23 09:18AM] Gave item to Bright. Name: Double DR Scroll 1 Hour. Id: 15355, amount: 1	
[4/21/23 09:18AM] Gave item to Bright. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/21/23 09:18AM] Gave item to Bright. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/21/23 09:18AM] Gave item to Bright. Name: DMG Potion (Mortal). Id: 3090, amount: 1	
[4/21/23 09:18AM] Gave item to Bright. Name: EXP Potion (Divine). Id: 1033, amount: 1	
[4/21/23 09:18AM] Gave item to Bright. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/21/23 09:18AM] Gave item to Bright. Name: Vote scroll. Id: 23020, amount: 2	
[4/21/23 09:18AM] Gave item to Bright. Name: Coin. Id: 995, amount: 1	
[4/21/23 11:36AM] Gave item to Bright. Name: $1 Scroll. Id: 10946, amount: 9	
[4/21/23 11:36AM] Gave item to Bright. Name: Vote scroll. Id: 23020, amount: 3	
[4/21/23 12:09PM] Gave item to Bright. Name: Vote scroll. Id: 23020, amount: 9	
[4/21/23 12:09PM] Gave item to Bright. Name: $1 Scroll. Id: 10946, amount: 20	
[4/21/23 12:09PM] Gave item to Bright. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/21/23 01:15PM] Gave item to Bright. Name: $1 Scroll. Id: 10946, amount: 20	
[4/21/23 01:15PM] Gave item to Bright. Name: Vote scroll. Id: 23020, amount: 12	
[4/21/23 03:09PM] Gave item to Bright. Name: $1 Scroll. Id: 10946, amount: 16	
[4/21/23 03:09PM] Gave item to Bright. Name: Vote scroll. Id: 23020, amount: 6	
[4/21/23 03:09PM] Received item from Bright. Name: Obsidian Crossbow. Id: 23066, amount: 1	
[4/22/23 03:05AM] Gave item to Bright. Name: $1 Scroll. Id: 10946, amount: 13	
[4/22/23 03:05AM] Gave item to Bright. Name: Vote scroll. Id: 23020, amount: 12	
[4/22/23 03:05AM] Gave item to Bright. Name: Tarn token. Id: 10835, amount: 11763	
[4/22/23 03:05AM] Received item from Bright. Name: Executive Boots. Id: 8274, amount: 1	
[4/22/23 08:38AM] Gave item to Bright. Name: $1 Scroll. Id: 10946, amount: 19	
[4/22/23 08:38AM] Gave item to Bright. Name: Vote scroll. Id: 23020, amount: 6	
[4/22/23 08:38AM] Received item from Bright. Name: Deviant Wings. Id: 21024, amount: 1	
[4/22/23 10:02AM] Gave item to Bright. Name: Vote scroll. Id: 23020, amount: 6	
[4/22/23 10:02AM] Gave item to Bright. Name: $1 Scroll. Id: 10946, amount: 5	
[4/22/23 10:41AM] Gave item to Bright. Name: $1 Scroll. Id: 10946, amount: 5	
[4/22/23 10:41AM] Gave item to Bright. Name: Coin. Id: 995, amount: 100741584	
[4/22/23 10:41AM] Gave item to Bright. Name: Owner cape goodiebag. Id: 3578, amount: 1	
[4/22/23 10:43AM] Received item from Bright. Name: Solar Robe Top. Id: 15646, amount: 1	
[4/24/23 09:22PM] Gave item to Bright. Name: $1 Scroll. Id: 10946, amount: 40	
[4/24/23 09:22PM] Gave item to Bright. Name: Vote scroll. Id: 23020, amount: 16	
[4/24/23 09:22PM] Gave item to Bright. Name: Coin. Id: 995, amount: 23330541	
[4/25/23 12:38AM] Gave item to Bright. Name: Owner cape goodiebag. Id: 3578, amount: 1	
[4/25/23 12:38AM] Gave item to Bright. Name: Vote scroll. Id: 23020, amount: 6	
[4/25/23 12:38AM] Gave item to Bright. Name: $1 Scroll. Id: 10946, amount: 14	
